scaffold_position	fraction_exonic
50000	0.14064
150000	0.22088
250000	0.21999
350000	0.18271
450000	0.26637
550000	0.2096
650000	0.35116
750000	0.21747
850000	0.23516
950000	0.1777
1050000	0.23005
1150000	0.23875
1250000	0.41219
1350000	0.22132
1450000	0.31336
1550000	0.25935
1650000	0.3351
1750000	0.19902
1850000	0.27436
1950000	0.05352705410821643
2050000	0.17294
2150000	0.28353
2250000	0.26604
2350000	0.26959
2450000	0.13986
2550000	0.13446
2650000	0.22611
2750000	0.17508
2850000	0.16639
2950000	0.14761
3050000	0.18889
3150000	0.12486
3250000	0.22857
3350000	0.16854
3450000	0.16489
3550000	0.23453
3650000	0.17829
3750000	0.20967
3850000	0.22801
3950000	0.34344
4050000	0.20348
4150000	0.24478
4250000	0.2051
4350000	0.20493
4450000	0.24438
4550000	0.14463
4650000	0.13275
4750000	0.17871
4850000	0.21268
4950000	0.17675
5050000	0.22358
5150000	0.23613
5250000	0.24593
5350000	0.12472
5450000	0.21822
5550000	0.10511
5650000	0.19772
5750000	0.22561
5850000	0.15578
5950000	0.26256
6050000	0.18657
6150000	0.20913
6250000	0.16314
6350000	0.08586
6450000	0.11223
6550000	0.32294
6650000	0.14182
6750000	0.2622
6850000	0.22987
6950000	0.25049
7050000	0.25042
7150000	0.26598
7250000	0.30303
7350000	0.29057
7450000	0.20493
7550000	0.14604
7650000	0.105
7750000	0.23262
7850000	0.24432
7950000	0.18022
8050000	0.22586
8150000	0.25586
8250000	0.2241
8350000	0.30577
8450000	0.34164
8550000	0.1851
8650000	0.14296
8750000	0.2823
8850000	0.17694
8950000	0.22676
9050000	0.15208
9150000	0.35545
9250000	0.31208
9350000	0.24197
9450000	0.26047
9550000	0.23001
9650000	0.19059
9750000	0.22235
9850000	0.18366
9950000	0.24368
10050000	0.21289
10150000	0.18123
10250000	0.165
10350000	0.2251
10450000	0.29045
10550000	0.21186
10650000	0.25203
10750000	0.48054108216432867
10850000	0.2402
10950000	0.20093
11050000	0.26723
11150000	0.25752
11250000	0.2467
11350000	0.27308
11450000	0.32477
11550000	0.34002
11650000	0.38296
11750000	0.35036
11850000	0.39347
11950000	0.3784
12050000	0.38454
12150000	0.36996
12250000	0.28869
12350000	0.28453
12450000	0.32738
12550000	0.26685
12650000	0.19359
12750000	0.28113
