scaffold_position	fraction_exonic
50000	0.10642
150000	0.20697
250000	0.20318
350000	0.21309619238476954
450000	0.19796
550000	0.23915
650000	0.23477
750000	0.31467
850000	0.23314
950000	0.23323
1050000	0.15005
1150000	0.25729
1250000	0.23601
1350000	0.35308
1450000	0.26874
1550000	0.23861
1650000	0.3169
1750000	0.23368
1850000	0.27117
1950000	0.2926
2050000	0.18755
2150000	0.009739478957915831
2250000	0.06098
2350000	0.23209
2450000	0.26257
2550000	0.19478
2650000	0.22723
2750000	0.25974
2850000	0.11429
2950000	0.17793
3050000	0.22476
3150000	0.16593
3250000	0.15099
3350000	0.1608
3450000	0.1406
3550000	0.19365
3650000	0.16545
3750000	0.17817
3850000	0.21837
3950000	0.1608
4050000	0.20454
4150000	0.20033
4250000	0.22488
4350000	0.19426
4450000	0.36592
4550000	0.26857
4650000	0.30088
4750000	0.26744
4850000	0.23886
4950000	0.17511
5050000	0.22653
5150000	0.21529
5250000	0.2129
5350000	0.18801
5450000	0.1774
5550000	0.22412
5650000	0.2323
5750000	0.1941
5850000	0.20439
5950000	0.17445
6050000	0.18078
6150000	0.16424
6250000	0.20381
6350000	0.11526
6450000	0.21036
6550000	0.21175
6650000	0.25629
6750000	0.17059
6850000	0.24489
6950000	0.21625
7050000	0.03903
7150000	0.11067
7250000	0.25464
7350000	0.21714
7450000	0.18364
7550000	0.21788
7650000	0.25311
7750000	0.26117
7850000	0.26716
7950000	0.27637
8050000	0.25835
8150000	0.27747
8250000	0.19629
8350000	0.18091
8450000	0.26181
8550000	0.27583
8650000	0.23937
8750000	0.20366
8850000	0.24727
8950000	0.22503
9050000	0.21771
9150000	0.3089
9250000	0.37948
9350000	0.18695
9450000	0.19888
9550000	0.25844
9650000	0.18818
9750000	0.23937
9850000	0.19554
9950000	0.26285
10050000	0.37845
10150000	0.24468
10250000	0.29489
10350000	0.19365
10450000	0.20159
10550000	0.17784
10650000	0.2079
10750000	0.21353
10850000	0.20781
10950000	0.27165
11050000	0.10935
11150000	0.20154
11250000	0.18415
11350000	0.21319
11450000	0.26774
11550000	0.21639
11650000	0.19254
11750000	0.26719
11850000	0.56168
11950000	0.23
12050000	0.20159
12150000	0.2858
12250000	0.23359
12350000	0.24616
12450000	0.29459
12550000	0.34312
12650000	0.3769
12750000	0.33798
12850000	0.35823
12950000	0.31649
13050000	0.2911
13150000	0.40319
13250000	0.38424
13350000	0.32745
13450000	0.3069
13550000	0.29755
13650000	0.25769
13750000	0.27085
13850000	0.20714
13950000	0.24334
14050000	0.27492
14150000	0.2529
14250000	0.18688
14350000	0.20825
14450000	0.14491
14550000	0.18095
14650000	0.18767
14750000	0.11406
14850000	0.18181
14950000	0.1233
15050000	0.25461
15150000	0.25959
15250000	0.26283
15350000	0.2322
15450000	0.19628
15550000	0.25164
15650000	0.17735
15750000	0.21823
15850000	0.17203
15950000	0.2789
16050000	0.24621
16150000	0.2397
16250000	0.20394
16350000	0.11014
16450000	0.30468
16550000	0.18453
16650000	0.20638
16750000	0.24393
16850000	0.29752
16950000	0.27736
17050000	0.23847
17150000	0.16491
17250000	0.22038
17350000	0.18768
17450000	0.29448
17550000	0.29339
17650000	0.22887
17750000	0.13231
17850000	0.2148
17950000	0.2251
18050000	0.27705
18150000	0.2047
18250000	0.24936
18350000	0.22557
18450000	0.2139
18550000	0.2859
18650000	0.24879
18750000	0.25227
18850000	0.25802
18950000	0.17753
19050000	0.26282
19150000	0.21014
19250000	0.31231
19350000	0.21524
19450000	0.21064
19550000	0.3221
19650000	0.24031
19750000	0.2791
19850000	0.25061122244488976
19950000	0.21018
20050000	0.21459
20150000	0.21266
20250000	0.20699
20350000	0.25344
20450000	0.27803
20550000	0.20357
20650000	0.28642
20750000	0.245
20850000	0.22701
20950000	0.22605
21050000	0.16918
21150000	0.22521
21250000	0.24037
21350000	0.24276
21450000	0.17809
21550000	0.25403
21650000	0.24282
21750000	0.23179
21850000	0.22521
21950000	0.28692
22050000	0.30151
22150000	0.20124
22250000	0.25228
22350000	0.27877
22450000	0.21933
22550000	0.21669
22650000	0.19752
22750000	0.2427
22850000	0.25942
22950000	0.20166
23050000	0.20214
23150000	0.20166
23250000	0.23904
23350000	0.26939
23450000	0.20109
23550000	0.15411
23650000	0.24196
23750000	0.10682
23850000	0.2632364729458918
23950000	0.19407
24050000	0.20492
24150000	0.19661
24250000	0.16193
24350000	0.19137
24450000	0.20539
24550000	0.26551
24650000	0.20454
24750000	0.23622
24850000	0.25058
24950000	0.14353
25050000	0.1806
25150000	0.36645
25250000	0.1649
25350000	0.23649
25450000	0.25004
25550000	0.28667
25650000	0.24494
25750000	0.1983
25850000	0.25893
25950000	0.24534
26050000	0.26664
26150000	0.2142
26250000	0.28907
26350000	0.29725
26450000	0.30191
26550000	0.27518
26650000	0.25727
26750000	0.3081
26850000	0.1833
26950000	0.25701
27050000	0.32427
27150000	0.30914
27250000	0.28093
27350000	0.29811
27450000	0.25168
27550000	0.40233
27650000	0.37085
27750000	0.3748
27850000	0.35298
27950000	0.23318
28050000	0.33378
28150000	0.23337
28250000	0.23556
28350000	0.21957
28450000	0.27435
28550000	0.24734
28650000	0.23991
28750000	0.12885
28850000	0.41388
28950000	0.2576953907815631
29050000	0.24486
29150000	0.26531
29250000	0.16471
29350000	0.17691
29450000	0.18576
29550000	0.14793
29650000	0.23289
29750000	0.24114
29850000	0.22392
29950000	0.15993
30050000	0.20412
30150000	0.19797
30250000	0.16341
30350000	0.20904
30450000	0.19728
30550000	0.27715
30650000	0.24319
30750000	0.17493
30850000	0.19116
30950000	0.19386
31050000	0.15972
31150000	0.20625
31250000	0.18762
31350000	0.19049
31450000	0.30597
31550000	0.21001
31650000	0.15498
31750000	0.23425
31850000	0.11989
31950000	0.15806
32050000	0.16777
32150000	0.20661
32250000	0.21075
32350000	0.17301
32450000	0.16923
32550000	0.26472
32650000	0.20836
32750000	0.18609
32850000	0.33788
32950000	0.26683
33050000	0.21108
33150000	0.24907
33250000	0.29623
33350000	0.22648
33450000	0.14697
33550000	0.21081
33650000	0.31119
33750000	0.32033
33850000	0.23743
33950000	0.24188
34050000	0.1937
34150000	0.19625
34250000	0.198
34350000	0.19952
34450000	0.2120440881763527
34550000	0.15436
34650000	0.23484
34750000	0.25588
34850000	0.24054
34950000	0.29129
35050000	0.22348
