read_name	read_length	subtel_start	subtel_end	max_tel_dropoff	max_tel_dropoff_position	max_rev_dropoff	max_rev_dropoff_position	difference
2db29d55-9134-449e-8878-9ae8755c9986	22754	22354	22445	1.0	22456	0.35	1631	11
10699e77-746b-4256-b8e0-215f53112028	10829	10578	10658	0.95	10724	0.35	2602	66
c55d55cf-b9a5-4e8f-a6c8-1199982bc901	16495	16218	16261	0.95	16281	0.35	2241	20
0ea81ee3-52a0-48b5-aaf1-10de4139a3de	21001	20742	20862	1.0	20865	0.35	779	3
15c71b21-b242-49b9-ab35-4cae379febdd	22084	532	447	0.35	2449	0.75	156	291
31bb8b24-f003-4e35-8645-659146407285	14982	14764	14837	0.8999999999999999	14829	0.35	774	8
4c4a980f-a69e-4890-8da3-19a5ba218ea4	15588	314	238	0.35	2312	0.95	246	8
b160ec9f-f78f-4798-a5da-eec5b41a80ad	10763	290	196	0.35	2289	0.75	193	3
66bbb381-0314-4839-afd6-ec6f920994ff	12498	12180	12256	0.65	12242	0.35	1207	14
299ef29f-f663-41fb-a28b-d453140b6d60	14037	13449	13579	1.0	13578	0.65	2493	1
59ba6229-20a2-4557-aa83-ac8f00757824	35725	143	67	0.35	2149	0.95	75	8
d76fcdc7-1a25-44f3-8d05-d3138ec29df5	11052	167	70	0.35	2176	0.65	127	57
8d619dd7-6069-4c90-b6b4-676fdcc2d9b3	20052	390	278	0.35	2397	0.95	288	10
511ab733-d1ae-4ad4-ba80-d9a0e9af475b	5964	427	347	0.35	2107	0.65	3382	3035
1c437b47-078e-4ff5-86ec-7463e68ce4ed	13948	13660	13771	1.0	13768	0.35	2642	3
f6921980-efc2-4b04-aa0e-35ad161e02df	12055	11603	11704	0.75	8810	0.45	844	2894
f128ad08-ebfb-4f31-9370-f4fb27b24a22	5084	163	57	0.35	2177	1.0	61	4
e1ad2ba8-973d-4678-ba45-4f44ca0202d4	26880	26721	26806	0.5	26808	0.4	17268	2
d2f94e67-d855-42ff-94b4-e05324645375	14470	14156	14234	1.0	14199	0.4	4667	35
1716c7b8-a09e-4c8b-84da-a1c73be302c6	6363	494	382	0.35	2505	1.0	386	4
166b01f6-5c62-4449-88b6-b373a249768f	15175	426	349	0.35	5409	0.85	130	219
1f2e19c3-409b-4725-8ace-3bf9034885b1	18987	279	189	0.35	2264	1.0	188	1
b1c0bc4d-2b78-47b2-b9b4-e279c647117f	8439	8115	8214	1.0	8219	0.35	165	5
70d219ca-ce52-48c5-b952-b838fbf2177e	26016	25675	25787	1.0	25784	0.35	2403	3
c21257f0-81b3-4eae-8a4f-c2fc77c8b721	15151	219	147	0.35	2226	1.0	155	8
7e634e24-ef62-4562-85bc-c839d763dd9d	6408	385	287	0.35	2410	0.95	291	4
4073e8e0-131e-4236-bb96-16c64c714d85	6994	6688	6804	1.0	6816	0.35	1641	12
8c450c7a-a26f-4dbe-8e78-42a10b0ec303	12206	395	324	0.35	2372	1.0	300	24
