chromosome	coordinate	RE_density	HFC
DcoA	50000	0.02763	non-HFC
DcoA	150000	0.02855	non-HFC
DcoA	250000	0.03116	non-HFC
DcoA	350000	0.02763	non-HFC
DcoA	450000	0.03093	non-HFC
DcoA	550000	0.03082	non-HFC
DcoA	650000	0.03209	non-HFC
DcoA	750000	0.02907	non-HFC
DcoA	850000	0.03096	non-HFC
DcoA	950000	0.02704	non-HFC
DcoA	1050000	0.02808	non-HFC
DcoA	1150000	0.02846	non-HFC
DcoA	1250000	0.0364	non-HFC
DcoA	1350000	0.02925	non-HFC
DcoA	1450000	0.03516	non-HFC
DcoA	1550000	0.03105	non-HFC
DcoA	1650000	0.0353	non-HFC
DcoA	1750000	0.02986	non-HFC
DcoA	1850000	0.03389	non-HFC
DcoA	1950000	0.037645290581162325	non-HFC
DcoA	2050000	0.02942	non-HFC
DcoA	2150000	0.03448	non-HFC
DcoA	2250000	0.03104	non-HFC
DcoA	2350000	0.03587	non-HFC
DcoA	2450000	0.03066	non-HFC
DcoA	2550000	0.02815	non-HFC
DcoA	2650000	0.02909	non-HFC
DcoA	2750000	0.02765	non-HFC
DcoA	2850000	0.02788	non-HFC
DcoA	2950000	0.03357	non-HFC
DcoA	3050000	0.02957	non-HFC
DcoA	3150000	0.02921	non-HFC
DcoA	3250000	0.03178	non-HFC
DcoA	3350000	0.03033	non-HFC
DcoA	3450000	0.03237	non-HFC
DcoA	3550000	0.03494	non-HFC
DcoA	3650000	0.03153	non-HFC
DcoA	3750000	0.0346	non-HFC
DcoA	3850000	0.03286	non-HFC
DcoA	3950000	0.03683	non-HFC
DcoA	4050000	0.03343	non-HFC
DcoA	4150000	0.03373	non-HFC
DcoA	4250000	0.03433	non-HFC
DcoA	4350000	0.03103	non-HFC
DcoA	4450000	0.03579	non-HFC
DcoA	4550000	0.03405	non-HFC
DcoA	4650000	0.03251	non-HFC
DcoA	4750000	0.03395	non-HFC
DcoA	4850000	0.03217	non-HFC
DcoA	4950000	0.03365	non-HFC
DcoA	5050000	0.03673	non-HFC
DcoA	5150000	0.03514	non-HFC
DcoA	5250000	0.03452	non-HFC
DcoA	5350000	0.03049	non-HFC
DcoA	5450000	0.03228	non-HFC
DcoA	5550000	0.02898	non-HFC
DcoA	5650000	0.03429	non-HFC
DcoA	5750000	0.03341	non-HFC
DcoA	5850000	0.03288	non-HFC
DcoA	5950000	0.03322	non-HFC
DcoA	6050000	0.03229	non-HFC
DcoA	6150000	0.03372	non-HFC
