chromosome	coordinate	exon_density	HFC
DcoA	50000	0.14064	non-HFC
DcoA	150000	0.22088	non-HFC
DcoA	250000	0.21999	non-HFC
DcoA	350000	0.18271	non-HFC
DcoA	450000	0.26637	non-HFC
DcoA	550000	0.2096	non-HFC
DcoA	650000	0.35116	non-HFC
DcoA	750000	0.21747	non-HFC
DcoA	850000	0.23516	non-HFC
DcoA	950000	0.1777	non-HFC
DcoA	1050000	0.23005	non-HFC
DcoA	1150000	0.23875	non-HFC
DcoA	1250000	0.41219	non-HFC
DcoA	1350000	0.22132	non-HFC
DcoA	1450000	0.31336	non-HFC
DcoA	1550000	0.25935	non-HFC
DcoA	1650000	0.3351	non-HFC
DcoA	1750000	0.19902	non-HFC
DcoA	1850000	0.27436	non-HFC
DcoA	1950000	0.05352705410821643	non-HFC
DcoA	2050000	0.17294	non-HFC
DcoA	2150000	0.28353	non-HFC
DcoA	2250000	0.26604	non-HFC
DcoA	2350000	0.26959	non-HFC
DcoA	2450000	0.13986	non-HFC
DcoA	2550000	0.13446	non-HFC
DcoA	2650000	0.22611	non-HFC
DcoA	2750000	0.17508	non-HFC
DcoA	2850000	0.16639	non-HFC
DcoA	2950000	0.14761	non-HFC
DcoA	3050000	0.18889	non-HFC
DcoA	3150000	0.12486	non-HFC
DcoA	3250000	0.22857	non-HFC
DcoA	3350000	0.16854	non-HFC
DcoA	3450000	0.16489	non-HFC
DcoA	3550000	0.23453	non-HFC
DcoA	3650000	0.17829	non-HFC
DcoA	3750000	0.20967	non-HFC
DcoA	3850000	0.22801	non-HFC
DcoA	3950000	0.34344	non-HFC
DcoA	4050000	0.20348	non-HFC
DcoA	4150000	0.24478	non-HFC
DcoA	4250000	0.2051	non-HFC
DcoA	4350000	0.20493	non-HFC
DcoA	4450000	0.24438	non-HFC
DcoA	4550000	0.14463	non-HFC
DcoA	4650000	0.13275	non-HFC
DcoA	4750000	0.17871	non-HFC
DcoA	4850000	0.21268	non-HFC
DcoA	4950000	0.17675	non-HFC
DcoA	5050000	0.22358	non-HFC
DcoA	5150000	0.23613	non-HFC
DcoA	5250000	0.24593	non-HFC
DcoA	5350000	0.12472	non-HFC
DcoA	5450000	0.21822	non-HFC
DcoA	5550000	0.10511	non-HFC
DcoA	5650000	0.19772	non-HFC
DcoA	5750000	0.22561	non-HFC
DcoA	5850000	0.15578	non-HFC
DcoA	5950000	0.26256	non-HFC
DcoA	6050000	0.18657	non-HFC
DcoA	6150000	0.20913	non-HFC
DcoA	6250000	0.16314	non-HFC
DcoA	6350000	0.08586	non-HFC
DcoA	6450000	0.11223	non-HFC
DcoA	6550000	0.32294	non-HFC
DcoA	6650000	0.14182	non-HFC
DcoA	6750000	0.2622	non-HFC
DcoA	6850000	0.22987	non-HFC
DcoA	6950000	0.25049	non-HFC
DcoA	7050000	0.25042	non-HFC
DcoA	7150000	0.26598	non-HFC
DcoA	7250000	0.30303	non-HFC
DcoA	7350000	0.29057	non-HFC
DcoA	7450000	0.20493	non-HFC
DcoA	7550000	0.14604	non-HFC
DcoA	7650000	0.105	non-HFC
DcoA	7750000	0.23262	non-HFC
DcoA	7850000	0.24432	non-HFC
DcoA	7950000	0.18022	non-HFC
DcoA	8050000	0.22586	non-HFC
DcoA	8150000	0.25586	non-HFC
DcoA	8250000	0.2241	non-HFC
DcoA	8350000	0.30577	non-HFC
DcoA	8450000	0.34164	non-HFC
DcoA	8550000	0.1851	non-HFC
DcoA	8650000	0.14296	non-HFC
DcoA	8750000	0.2823	non-HFC
DcoA	8850000	0.17694	non-HFC
DcoA	8950000	0.22676	non-HFC
DcoA	9050000	0.15208	HFC
DcoA	9150000	0.35545	HFC
DcoA	9250000	0.31208	HFC
DcoA	9350000	0.24197	HFC
DcoA	9450000	0.26047	HFC
DcoA	9550000	0.23001	HFC
DcoA	9650000	0.19059	HFC
DcoA	9750000	0.22235	HFC
DcoA	9850000	0.18366	HFC
DcoA	9950000	0.24368	HFC
DcoA	10050000	0.21289	HFC
DcoA	10150000	0.18123	HFC
DcoA	10250000	0.165	HFC
DcoA	10350000	0.2251	HFC
DcoA	10450000	0.29045	HFC
DcoA	10550000	0.21186	HFC
DcoA	10650000	0.25203	HFC
DcoA	10750000	0.48054108216432867	HFC
DcoA	10850000	0.2402	HFC
DcoA	10950000	0.20093	HFC
DcoA	11050000	0.26723	HFC
DcoA	11150000	0.25752	HFC
DcoA	11250000	0.2467	HFC
DcoA	11350000	0.27308	HFC
DcoA	11450000	0.32477	HFC
DcoA	11550000	0.34002	HFC
DcoA	11650000	0.38296	HFC
DcoA	11750000	0.35036	HFC
DcoA	11850000	0.39347	HFC
DcoA	11950000	0.3784	HFC
DcoA	12050000	0.38454	non-HFC
DcoA	12150000	0.36996	non-HFC
DcoA	12250000	0.28869	non-HFC
DcoA	12350000	0.28453	non-HFC
DcoA	12450000	0.32738	non-HFC
DcoA	12550000	0.26685	non-HFC
DcoA	12650000	0.19359	non-HFC
DcoA	12750000	0.28113	non-HFC
DcoA	12850000	0.27021	non-HFC
DcoA	12950000	0.2442	non-HFC
DcoA	13050000	0.21102	non-HFC
DcoA	13150000	0.23028	non-HFC
DcoA	13250000	0.18327	non-HFC
DcoA	13350000	0.16791	non-HFC
DcoA	13450000	0.16119	non-HFC
DcoA	13550000	0.15969	non-HFC
DcoA	13650000	0.17643	non-HFC
DcoA	13750000	0.20427	non-HFC
DcoA	13850000	0.2649	non-HFC
DcoA	13950000	0.23952	non-HFC
DcoA	14050000	0.23385	non-HFC
DcoA	14150000	0.21401	non-HFC
DcoA	14250000	0.17159	non-HFC
DcoA	14350000	0.21299	non-HFC
DcoA	14450000	0.19116	non-HFC
DcoA	14550000	0.28098	non-HFC
DcoA	14650000	0.24106	non-HFC
DcoA	14750000	0.19049	non-HFC
DcoA	14850000	0.2238	non-HFC
DcoA	14950000	0.16569138276553105	non-HFC
DcoA	15050000	0.18467	non-HFC
DcoA	15150000	0.21292	non-HFC
DcoA	15250000	0.26064	non-HFC
DcoA	15350000	0.3443	non-HFC
DcoA	15450000	0.16107214428857716	non-HFC
DcoA	15550000	0.27951	non-HFC
DcoA	15650000	0.17817	non-HFC
DcoA	15750000	0.23415	non-HFC
DcoA	15850000	0.23063	non-HFC
DcoA	15950000	0.30274	non-HFC
DcoA	16050000	0.24636	non-HFC
DcoA	16150000	0.24633	non-HFC
DcoA	16250000	0.11013	non-HFC
DcoA	16350000	0.21764	non-HFC
DcoA	16450000	0.27478	non-HFC
DcoA	16550000	0.24552	non-HFC
DcoA	16650000	0.2167	non-HFC
DcoA	16750000	0.29608	non-HFC
DcoA	16850000	0.25157	non-HFC
DcoA	16950000	0.28545	non-HFC
DcoA	17050000	0.23463	non-HFC
DcoA	17150000	0.28716	non-HFC
DcoA	17250000	0.25545	non-HFC
DcoA	17350000	0.25525	non-HFC
DcoA	17450000	0.22344	non-HFC
DcoA	17550000	0.28907	non-HFC
DcoA	17650000	0.21244	non-HFC
DcoA	17750000	0.23386	non-HFC
DcoA	17850000	0.22914829659318636	non-HFC
DcoA	17950000	0.25527	non-HFC
DcoA	18050000	0.29391	non-HFC
DcoA	18150000	0.31146	non-HFC
DcoA	18250000	0.26663	non-HFC
DcoA	18350000	0.20404	non-HFC
DcoA	18450000	0.19897	non-HFC
DcoA	18550000	0.22426	non-HFC
DcoA	18650000	0.26701	non-HFC
DcoA	18750000	0.35523	non-HFC
DcoA	18850000	0.2223	non-HFC
DcoA	18950000	0.29042	non-HFC
DcoA	19050000	0.24452	non-HFC
DcoA	19150000	0.26582	non-HFC
DcoA	19250000	0.2441683366733467	non-HFC
DcoA	19350000	0.15682	non-HFC
DcoA	19450000	0.27055	non-HFC
DcoA	19550000	0.25094	non-HFC
DcoA	19650000	0.22049	non-HFC
DcoA	19750000	0.16261	non-HFC
DcoA	19850000	0.26632	non-HFC
DcoA	19950000	0.28873	non-HFC
DcoA	20050000	0.24275	non-HFC
DcoA	20150000	0.25171	non-HFC
DcoA	20250000	0.30426	non-HFC
DcoA	20350000	0.18391	non-HFC
DcoA	20450000	0.26953	non-HFC
DcoA	20550000	0.25112	non-HFC
DcoA	20650000	0.1747	non-HFC
DcoA	20750000	0.26063	non-HFC
DcoA	20850000	0.18515	non-HFC
DcoA	20950000	0.30966	non-HFC
DcoA	21050000	0.26734	non-HFC
DcoA	21150000	0.2217	non-HFC
DcoA	21250000	0.27288	non-HFC
DcoA	21350000	0.20951	non-HFC
DcoA	21450000	0.26274	non-HFC
DcoA	21550000	0.22873	non-HFC
DcoA	21650000	0.18141	non-HFC
DcoA	21750000	0.24665	non-HFC
DcoA	21850000	0.09291	non-HFC
DcoA	21950000	0.2155	non-HFC
DcoA	22050000	0.1914	non-HFC
DcoA	22150000	0.22047	non-HFC
DcoA	22250000	0.20955	non-HFC
DcoA	22350000	0.19992	non-HFC
DcoA	22450000	0.17383	non-HFC
DcoA	22550000	0.21032	non-HFC
DcoA	22650000	0.27124	non-HFC
DcoA	22750000	0.22911	non-HFC
DcoA	22850000	0.24684	non-HFC
DcoA	22950000	0.2517	non-HFC
DcoA	23050000	0.12735	non-HFC
DcoA	23150000	0.30294	non-HFC
DcoA	23250000	0.26997	non-HFC
DcoA	23350000	0.16515	non-HFC
DcoA	23450000	0.23673	non-HFC
DcoA	23550000	0.22885	non-HFC
DcoA	23650000	0.27068	non-HFC
DcoA	23750000	0.23478	non-HFC
DcoA	23850000	0.23436	non-HFC
DcoA	23950000	0.26763	non-HFC
DcoA	24050000	0.2711	non-HFC
DcoA	24150000	0.23449	non-HFC
DcoA	24250000	0.30623	non-HFC
DcoA	24350000	0.28088	non-HFC
DcoA	24450000	0.31391	non-HFC
DcoA	24550000	0.35296	HFC
DcoA	24650000	0.23891	HFC
DcoA	24750000	0.31059	HFC
DcoA	24850000	0.21087	HFC
DcoA	24950000	0.23801	HFC
DcoA	25050000	0.3343086172344689	HFC
DcoA	25150000	0.29574	HFC
DcoA	25250000	0.3303	HFC
DcoA	25350000	0.32174	HFC
DcoA	25450000	0.31755	HFC
DcoA	25550000	0.3952	HFC
DcoA	25650000	0.33117	HFC
DcoA	25750000	0.32797	HFC
DcoA	25850000	0.32374	HFC
DcoA	25950000	0.27235	HFC
DcoA	26050000	0.31608	HFC
DcoA	26150000	0.22785	HFC
DcoA	26250000	0.2876	HFC
DcoA	26350000	0.24021	HFC
DcoA	26450000	0.3364	HFC
DcoA	26550000	0.24527	HFC
DcoA	26650000	0.34082	HFC
DcoA	26750000	0.30034	HFC
DcoA	26850000	0.31018	HFC
DcoA	26950000	0.29888	HFC
DcoA	27050000	0.24418	HFC
DcoA	27150000	0.17845	HFC
