scaffold_position	Unspecified	Simple_repeat	sum
50000	0.53586	0.00726	0.54312
150000	0.16693	0.00901	0.17594
250000	0.14006	0.01093	0.15099
350000	0.21816	0.00671	0.22487
450000	0.18551	0.00815	0.19366
550000	0.18879	0.00645	0.19524
650000	0.11079	0.00349	0.11428
750000	0.12862	0.00648	0.1351
850000	0.11158	0.00441	0.11599
950000	0.11533	0.00428	0.11961
1050000	0.17764	0.01173	0.18937
1150000	0.17206	0.0068	0.17886
1250000	0.13511	0.00747	0.14258
1350000	0.11939	0.00553	0.12492
1450000	0.14075	0.01032	0.15107
1550000	0.21201	0.00595	0.21796
1650000	0.12527	0.00681	0.13208
1750000	0.15069	0.02005	0.17074
1850000	0.13865	0.01324	0.15189
1950000	0.7973947895791583	0.005821643286573146	0.8032164328657314
2050000	0.12506	0.00518	0.13024
2150000	0.0941	0.00648	0.10058
2250000	0.11041	0.00304	0.11345
2350000	0.18056	0.0077	0.18826
2450000	0.07321	0.01359	0.0868
2550000	0.06599	0.00897	0.07496
2650000	0.11361	0.00955	0.12316
2750000	0.12531	0.00556	0.13087
2850000	0.12933	0.00355	0.13288
2950000	0.06062	0.00706	0.06768
3050000	0.07598	0.00429	0.08027
3150000	0.07106	0.0089	0.07996
3250000	0.18372	0.0037	0.18742
3350000	0.07822	0.0064	0.08462
3450000	0.13555	0.00855	0.1441
3550000	0.15439	0.00379	0.15818
3650000	0.1261	0.00299	0.12909
3750000	0.05562	0.00655	0.06217
3850000	0.11506	0.00499	0.12005
3950000	0.07454	0.00576	0.0803
4050000	0.12516	0.00974	0.1349
4150000	0.06286	0.00522	0.06808
4250000	0.06018	0.00912	0.0693
4350000	0.04337	0.00961	0.05298
4450000	0.13102	0.00457	0.13559
4550000	0.22924	0.00537	0.23461
4650000	0.1606	0.00941	0.17001
4750000	0.0609	0.00736	0.06826
4850000	0.17882	0.0039	0.18272
4950000	0.06713	0.0124	0.07953
5050000	0.12163	0.00866	0.13029
5150000	0.06385	0.0121	0.07595
5250000	0.02848	0.00827	0.03675
5350000	0.12552	0.01209	0.13761
5450000	0.40184	0.00251	0.40435
5550000	0.44913	0.00163	0.45076
5650000	0.18294	0.00619	0.18913
5750000	0.12759	0.0052	0.13279
5850000	0.04956	0.00714	0.0567
5950000	0.03962	0.00739	0.04701
6050000	0.03679	0.01044	0.04723
6150000	0.09862	0.00468	0.1033
6250000	0.38292	0.00822	0.39114
6350000	0.48418	0.00776	0.49194
6450000	0.62311	0.00239	0.6255
6550000	0.14609	0.00384	0.14993
6650000	0.07369	0.01011	0.0838
6750000	0.08989	0.00884	0.09873
6850000	0.07496	0.01401	0.08897
6950000	0.09304	0.01077	0.10381
7050000	0.11557	0.00897	0.12454
7150000	0.1258	0.00974	0.13554
7250000	0.09078	0.00877	0.09955
7350000	0.05258	0.00835	0.06093
7450000	0.10451	0.01015	0.11466
7550000	0.13838	0.00519	0.14357
7650000	0.40687374749499	0.006212424849699399	0.41308617234468936
7750000	0.10093	0.00624	0.10717
7850000	0.06249	0.00654	0.06903
7950000	0.09334	0.00674	0.10008
8050000	0.10505	0.00883	0.11388
8150000	0.05449	0.01289	0.06738
8250000	0.15993	0.01181	0.17174
