scaffold	coordinate	fraction_exonic_DNA
ChrIV	50000	0.0
ChrIV	150000	0.09173
ChrIV	250000	0.13842
ChrIV	350000	0.11456281407035177
ChrIV	450000	0.1265959595959596
ChrIV	550000	0.09631313131313131
ChrIV	650000	0.15677386934673368
ChrIV	750000	0.24526
ChrIV	850000	0.26725
ChrIV	950000	0.28675
ChrIV	1050000	0.14494
ChrIV	1150000	0.24093
ChrIV	1250000	0.25066
ChrIV	1350000	0.21056
ChrIV	1450000	0.16595
ChrIV	1550000	0.16149
ChrIV	1650000	0.21251
ChrIV	1750000	0.19034
ChrIV	1850000	0.18574
ChrIV	1950000	0.12832
ChrIV	2050000	0.24667
ChrIV	2150000	0.01311
ChrIV	2250000	0.01593
ChrIV	2350000	0.1776
ChrIV	2450000	0.194
ChrIV	2550000	0.20362
ChrIV	2650000	0.07916582914572864
ChrIV	2750000	0.14375879396984925
ChrIV	2850000	0.0244
ChrIV	2950000	0.17412
ChrIV	3050000	0.19471
ChrIV	3150000	0.12949
ChrIV	3250000	0.14173
ChrIV	3350000	0.15806
ChrIV	3450000	0.12287
ChrIV	3550000	0.09312
ChrIV	3650000	0.0817
ChrIV	3750000	0.18514
ChrIV	3850000	0.12887
ChrIV	3950000	0.17228
ChrIV	4050000	0.21067
ChrIV	4150000	0.17066
ChrIV	4250000	0.1168
ChrIV	4350000	0.18998
ChrIV	4450000	0.14644
ChrIV	4550000	0.14779
ChrIV	4650000	0.16759
ChrIV	4750000	0.17978
ChrIV	4850000	0.13246
ChrIV	4950000	0.13392
ChrIV	5050000	0.18579
ChrIV	5150000	0.18986934673366834
ChrIV	5250000	0.14997989949748744
ChrIV	5350000	0.16547
ChrIV	5450000	0.16514
ChrIV	5550000	0.20758
ChrIV	5650000	0.18932
ChrIV	5750000	0.19055
ChrIV	5850000	0.2347
ChrIV	5950000	0.20784
ChrIV	6050000	0.21774
ChrIV	6150000	0.23014
ChrIV	6250000	0.18759
ChrIV	6350000	0.21544
ChrIV	6450000	0.10987
ChrIV	6550000	0.19548
ChrIV	6650000	0.12172
ChrIV	6750000	0.15671
ChrIV	6850000	0.05874
ChrIV	6950000	0.05531
ChrIV	7050000	0.18543
ChrIV	7150000	0.17317
ChrIV	7250000	0.14736
ChrIV	7350000	0.08386
ChrIV	7450000	0.26075
ChrIV	7550000	0.14835
ChrIV	7650000	0.1461
ChrIV	7750000	0.11394
ChrIV	7850000	0.08309
ChrIV	7950000	0.09434
ChrIV	8050000	0.19074
ChrIV	8150000	0.2523
ChrIV	8250000	0.25224
ChrIV	8350000	0.10264
ChrIV	8450000	0.16088
ChrIV	8550000	0.17706
ChrIV	8650000	0.15458
ChrIV	8750000	0.2044
ChrIV	8850000	0.16688
ChrIV	8950000	0.16686
ChrIV	9050000	0.17439
ChrIV	9150000	0.21196
ChrIV	9250000	0.26105
ChrIV	9350000	0.21058
ChrIV	9450000	0.20064
ChrIV	9550000	0.22091
ChrIV	9650000	0.20969
ChrIV	9750000	0.15175
ChrIV	9850000	0.19252
ChrIV	9950000	0.23606
ChrIV	10050000	0.22455
ChrIV	10150000	0.20059
ChrIV	10250000	0.15979
ChrIV	10350000	0.15548
ChrIV	10450000	0.19334
ChrIV	10550000	0.22467
ChrIV	10650000	0.24648
ChrIV	10750000	0.19804
ChrIV	10850000	0.12785
ChrIV	10950000	0.16696
ChrIV	11050000	0.20718
ChrIV	11150000	0.20485
ChrIV	11250000	0.22824
ChrIV	11350000	0.24468
ChrIV	11450000	0.18087
ChrIV	11550000	0.09676
ChrIV	11650000	0.18671
ChrIV	11750000	0.27839
ChrIV	11850000	0.18964
ChrIV	11950000	0.22914
ChrIV	12050000	0.2281
ChrIV	12150000	0.23232
ChrIV	12250000	0.24884
ChrIV	12350000	0.25415
ChrIV	12450000	0.20327
ChrIV	12550000	0.21382
ChrIV	12650000	0.10526
ChrIV	12750000	0.20957
ChrIV	12850000	0.15733
ChrIV	12950000	0.21539
ChrIV	13050000	0.28972
ChrIV	13150000	0.20587
ChrIV	13250000	0.22217
ChrIV	13350000	0.22559
ChrIV	13450000	0.3417
ChrIV	13550000	0.19153
ChrIV	13650000	0.17906
ChrIV	13750000	0.23296
ChrIV	13850000	0.30728
ChrIV	13950000	0.33193
ChrIV	14050000	0.30292
ChrIV	14150000	0.37121
ChrIV	14250000	0.31032
ChrIV	14350000	0.31671
ChrIV	14450000	0.21382
ChrIV	14550000	0.21711
ChrIV	14650000	0.35498
ChrIV	14750000	0.23905
ChrIV	14850000	0.24307
ChrIV	14950000	0.24741
ChrIV	15050000	0.21435
ChrIV	15150000	0.1827
ChrIV	15250000	0.32207
ChrIV	15350000	0.27615
ChrIV	15450000	0.39582
ChrIV	15550000	0.32367
ChrIV	15650000	0.33681
ChrIV	15750000	0.23709
ChrIV	15850000	0.31349
ChrIV	15950000	0.29125
ChrIV	16050000	0.19123
ChrIV	16150000	0.36804
ChrIV	16250000	0.29862
ChrIV	16350000	0.04087437185929648
ChrIV	16450000	0.21307
ChrIV	16550000	0.4024
ChrIV	16650000	0.37236
ChrIV	16750000	0.27245
ChrIV	16850000	0.32722
ChrIV	16950000	0.35224
ChrIV	17050000	0.29861
ChrIV	17150000	0.33487
ChrIV	17250000	0.33222
ChrIV	17350000	0.38003
ChrIV	17450000	0.44085
ChrIV	17550000	0.40411
ChrIV	17650000	0.2976
ChrIV	17750000	0.41053
ChrIV	17850000	0.38459
ChrIV	17950000	0.31487
ChrIV	18050000	0.10123
ChrIV	18150000	0.29662
ChrIV	18250000	0.35516
ChrIV	18350000	0.42931
ChrIV	18450000	0.3575
ChrIV	18550000	0.42376
ChrIV	18650000	0.36684
ChrIV	18750000	0.38277
ChrIV	18850000	0.27033
ChrIV	18950000	0.46383
ChrIV	19050000	0.41249
ChrIV	19150000	0.36751
ChrIV	19250000	0.04775879396984924
ChrIV	19350000	0.20123
ChrIV	19450000	0.30346
ChrIV	19550000	0.22255
ChrIV	19650000	0.05857
ChrIV	19750000	0.16880402010050252
ChrIV	19850000	0.40707
ChrIV	19950000	0.1582
ChrIV	20050000	0.32824
ChrIV	20150000	0.2801
ChrIV	20250000	0.288
ChrIV	20350000	0.20823
ChrIV	20450000	0.07328
ChrIV	20550000	0.10917
ChrIV	20650000	0.10088
ChrIV	20750000	0.11398
ChrIV	20850000	0.10771
ChrIV	20950000	0.08306
ChrIV	21050000	0.03536
ChrIV	21150000	0.07758
ChrIV	21250000	0.08627
ChrIV	21350000	0.07576
ChrIV	21450000	0.19227
ChrIV	21550000	0.0877
ChrIV	21650000	0.22818
ChrIV	21750000	0.25497
ChrIV	21850000	0.2689
ChrIV	21950000	0.21429
ChrIV	22050000	0.18441
ChrIV	22150000	0.19111
ChrIV	22250000	0.24563
ChrIV	22350000	0.32768
ChrIV	22450000	0.31682
ChrIV	22550000	0.33986
ChrIV	22650000	0.36233
ChrIV	22750000	0.33352
ChrIV	22850000	0.3207
ChrIV	22950000	0.27168
ChrIV	23050000	0.29064
ChrIV	23150000	0.41756
ChrIV	23250000	0.32363
ChrIV	23350000	0.33512
ChrIV	23450000	0.43367
ChrIV	23550000	0.32792
ChrIV	23650000	0.29427
ChrIV	23750000	0.33314
ChrIV	23850000	0.25655
ChrIV	23950000	0.29263
ChrIV	24050000	0.22215
ChrIV	24150000	0.26646
ChrIV	24250000	0.08072
ChrIV	24350000	0.29689
ChrIV	24450000	0.27244
ChrIV	24550000	0.24915
ChrIV	24650000	0.31317
ChrIV	24750000	0.30739
ChrIV	24850000	0.23668
ChrIV	24950000	0.26567
ChrIV	25050000	0.06991959798994975
ChrIV	25150000	0.23939
ChrIV	25250000	0.21334
ChrIV	25350000	0.29175
ChrIV	25450000	0.19888
ChrIV	25550000	0.15868
ChrIV	25650000	0.34873
ChrIV	25750000	0.19173
ChrIV	25850000	0.25857
ChrIV	25950000	0.25045
ChrIV	26050000	0.15141
ChrIV	26150000	0.15951
ChrIV	26250000	0.12471
ChrIV	26350000	0.11361
ChrIV	26450000	0.20344
ChrIV	26550000	0.21179
ChrIV	26650000	0.18047
ChrIV	26750000	0.15484
ChrIV	26850000	0.14398
ChrIV	26950000	0.24063
ChrIV	27050000	0.19776
ChrIV	27150000	0.13025
ChrIV	27250000	0.1138
ChrIV	27350000	0.18089
ChrIV	27450000	0.19642
ChrIV	27550000	0.15189
ChrIV	27650000	0.14515
ChrIV	27750000	0.1151
ChrIV	27850000	0.16917
ChrIV	27950000	0.29264
ChrIV	28050000	0.21816
ChrIV	28150000	0.19965
ChrIV	28250000	0.19339
ChrIV	28350000	0.15245
ChrIV	28450000	0.30966
ChrIV	28550000	0.21562
ChrIV	28650000	0.27616
ChrIV	28750000	0.30397
ChrIV	28850000	0.23865
ChrIV	28950000	0.21796
ChrIV	29050000	0.08289
ChrIV	29150000	0.1065
ChrIV	29250000	0.15031
ChrIV	29350000	0.17538
ChrIV	29450000	0.12447
ChrIV	29550000	0.18146
ChrIV	29650000	0.17511
ChrIV	29750000	0.1422
ChrIV	29850000	0.21525
ChrIV	29950000	0.20931
ChrIV	30050000	0.12889
ChrIV	30150000	0.12186
ChrIV	30250000	0.16927
ChrIV	30350000	0.11493
ChrIV	30450000	0.0839
ChrIV	30550000	0.12753
ChrIV	30650000	0.1909
ChrIV	30750000	0.1304
ChrIV	30850000	0.16713
ChrIV	30950000	0.16622
ChrIV	31050000	0.20645
ChrIV	31150000	0.10648
ChrIV	31250000	0.12175
ChrIV	31350000	0.13764
ChrIV	31450000	0.12314
ChrIV	31550000	0.08759
ChrIV	31650000	0.14061
ChrIV	31750000	0.20688
ChrIV	31850000	0.18063
ChrIV	31950000	0.18096
ChrIV	32050000	0.1493
ChrIV	32150000	0.09582
ChrIV	32250000	0.12956
ChrIV	32350000	0.18574
ChrIV	32450000	0.05872361809045226
ChrIV	32550000	0.01677
ChrIV	32650000	0.09833
ChrIV	32750000	0.1494
ChrIV	32850000	0.04425
ChrIV	32950000	0.10136
ChrIV	33050000	0.1635
ChrIV	33150000	0.21546
ChrIV	33250000	0.1187
ChrIV	33350000	0.006934673366834171
ChrIV	33450000	0.03691
ChrIV	33550000	0.08449
ChrIV	33650000	0.07448
ChrIV	33750000	0.23405
ChrIV	33850000	0.13955
ChrIV	33950000	0.06276
ChrIV	34050000	0.08591
ChrIV	34150000	0.09328
ChrIV	34250000	0.16091
ChrIV	34350000	0.05787
ChrIV	34450000	0.18878
ChrIV	34550000	0.09895477386934673
ChrIV	34650000	0.11814
ChrIV	34750000	0.24598
ChrIV	34850000	0.11574
ChrIV	34950000	0.12879
ChrIV	35050000	0.20974
ChrIV	35150000	0.24616
ChrIV	35250000	0.30158
ChrIV	35350000	0.25146
ChrIV	35450000	0.031185929648241205
ChrIV	35550000	0.07928643216080403
ChrIV	35650000	0.02289
ChrIV	35750000	0.09558
ChrIV	35808455	0.08674827035657265
ChrX	50000	0.1668
ChrX	150000	0.2204
ChrX	250000	0.34202
ChrX	350000	0.29473
ChrX	450000	0.20794
ChrX	550000	0.18335
ChrX	650000	0.19864
ChrX	750000	0.1921
ChrX	850000	0.21488
ChrX	950000	0.20959
ChrX	1050000	0.04466
ChrX	1150000	0.22812
ChrX	1250000	0.19714
ChrX	1350000	0.16989
ChrX	1450000	0.17889
ChrX	1550000	0.17627
ChrX	1650000	0.17115
ChrX	1750000	0.12807
ChrX	1850000	0.10348
ChrX	1950000	0.10898
ChrX	2050000	0.0961
ChrX	2150000	0.15157
ChrX	2250000	0.1692
ChrX	2350000	0.11812
ChrX	2450000	0.1534
ChrX	2550000	0.14633
ChrX	2650000	0.09925
ChrX	2750000	0.0944
ChrX	2850000	0.06839
ChrX	2950000	0.13631
ChrX	3050000	0.16719
ChrX	3150000	0.17735
ChrX	3250000	0.18481
ChrX	3350000	0.08417
ChrX	3450000	0.19829
ChrX	3550000	0.14546733668341708
ChrX	3650000	0.19913
ChrX	3750000	0.14437
ChrX	3850000	0.17048
ChrX	3950000	0.15108
ChrX	4050000	0.17432
ChrX	4150000	0.14675
ChrX	4250000	0.12679
ChrX	4350000	0.1974
ChrX	4450000	0.15907
ChrX	4550000	0.0715
ChrX	4650000	0.17524
ChrX	4750000	0.18192
ChrX	4850000	0.22495
ChrX	4950000	0.20188
ChrX	5050000	0.18893
ChrX	5150000	0.13524
ChrX	5250000	0.20566
ChrX	5350000	0.17482
ChrX	5450000	0.12261
ChrX	5550000	0.125
ChrX	5650000	0.11985
ChrX	5750000	0.24822
ChrX	5850000	0.17955
ChrX	5950000	0.10273
ChrX	6050000	0.16837
ChrX	6150000	0.20126
ChrX	6250000	0.21214
ChrX	6350000	0.25333
ChrX	6450000	0.19146
ChrX	6550000	0.06334
ChrX	6650000	0.17783
ChrX	6750000	0.33345
ChrX	6850000	0.20986
ChrX	6950000	0.13918
ChrX	7050000	0.16072
ChrX	7150000	0.25598
ChrX	7250000	0.11174
ChrX	7350000	0.23021
ChrX	7450000	0.06935
ChrX	7550000	0.23146
ChrX	7650000	0.01704
ChrX	7750000	0.30764
ChrX	7850000	0.28881
ChrX	7950000	0.08409
ChrX	8050000	0.23722
ChrX	8150000	0.1276
ChrX	8250000	0.30349
ChrX	8350000	0.18072
ChrX	8450000	0.14728
ChrX	8550000	0.24354
ChrX	8650000	0.25705
ChrX	8750000	0.33734
ChrX	8850000	0.23813
ChrX	8950000	0.25322
ChrX	9050000	0.2763
ChrX	9150000	0.30322
ChrX	9250000	0.40383
ChrX	9350000	0.47643
ChrX	9450000	0.29574
ChrX	9550000	0.21905
ChrX	9650000	0.29215
ChrX	9750000	0.26604
ChrX	9850000	0.29493
ChrX	9950000	0.24669
ChrX	10050000	0.29476
ChrX	10150000	0.30519
ChrX	10250000	0.22071
ChrX	10350000	0.32481
ChrX	10450000	0.29231
ChrX	10550000	0.30458
ChrX	10650000	0.27438
ChrX	10750000	0.2555
ChrX	10850000	0.31857
ChrX	10950000	0.16685
ChrX	11050000	0.37496
ChrX	11150000	0.33843
ChrX	11250000	0.28154
ChrX	11350000	0.15032
ChrX	11450000	0.12251
ChrX	11550000	0.13919
ChrX	11650000	0.26316
ChrX	11750000	0.33834
ChrX	11850000	0.2164
ChrX	11950000	0.19613
ChrX	12050000	0.33918
ChrX	12150000	0.18773
ChrX	12250000	0.21942
ChrX	12350000	0.22644
ChrX	12450000	0.26214
ChrX	12550000	0.23696
ChrX	12650000	0.22821
ChrX	12750000	0.17259
ChrX	12850000	0.22962
ChrX	12950000	0.12654
ChrX	13050000	0.24713
ChrX	13150000	0.18286
ChrX	13250000	0.20179
ChrX	13350000	0.16715
ChrX	13450000	0.09033
ChrX	13550000	0.12594
ChrX	13650000	0.15896
ChrX	13750000	0.14772
ChrX	13850000	0.13866
ChrX	13950000	0.15044
ChrX	14050000	0.18535
ChrX	14150000	0.15935
ChrX	14250000	0.21971
ChrX	14350000	0.15913
ChrX	14450000	0.25528
ChrX	14550000	0.31195
ChrX	14650000	0.26915
ChrX	14750000	0.27274
ChrX	14850000	0.19067
ChrX	14950000	0.36494
ChrX	15050000	0.18354
ChrX	15150000	0.18787
ChrX	15250000	0.21166
ChrX	15350000	0.17094
ChrX	15450000	0.19464
ChrX	15550000	0.18306
ChrX	15650000	0.18844
ChrX	15750000	0.19267
ChrX	15850000	0.18691
ChrX	15950000	0.14021
ChrX	16050000	0.12
ChrX	16150000	0.20713
ChrX	16250000	0.17856
ChrX	16350000	0.08584
ChrX	16450000	0.14812
ChrX	16550000	0.18914
ChrX	16650000	0.14578
ChrX	16750000	0.16697
ChrX	16850000	0.17193
ChrX	16950000	0.09657
ChrX	17050000	0.15549
ChrX	17150000	0.12579
ChrX	17250000	0.20028
ChrX	17350000	0.22952
ChrX	17450000	0.17522
ChrX	17550000	0.18276
ChrX	17650000	0.16883
ChrX	17750000	0.16127
ChrX	17850000	0.08976
ChrX	17950000	0.15689
ChrX	18050000	0.1561
ChrX	18150000	0.1586
ChrX	18250000	0.20093
ChrX	18350000	0.2443
ChrX	18450000	0.1268
ChrX	18550000	0.11151
ChrX	18650000	0.10178
ChrX	18750000	0.20842
ChrX	18850000	0.1933
ChrX	18950000	0.11821
ChrX	19050000	0.07211
ChrX	19150000	0.15763
ChrX	19250000	0.15229
ChrX	19350000	0.2015
ChrX	19450000	0.10145
ChrX	19550000	0.14133
ChrX	19650000	0.22975
ChrX	19750000	0.20858
ChrX	19850000	0.23553
ChrX	19950000	0.09634
ChrX	20050000	0.1586
ChrX	20150000	0.35143
ChrX	20250000	0.29447
ChrX	20350000	0.28409
ChrX	20450000	0.22651
ChrX	20550000	0.18995
ChrX	20650000	0.1927
ChrX	20750000	0.15975
ChrX	20850000	0.24433
ChrX	20950000	0.20617
ChrX	21050000	0.19211
ChrX	21150000	0.16771
ChrX	21250000	0.17033
ChrX	21350000	0.17106
ChrX	21450000	0.1604
ChrX	21550000	0.17951
ChrX	21650000	0.16185
ChrX	21750000	0.15688
ChrX	21850000	0.15615
ChrX	21950000	0.21439
ChrX	22050000	0.19116
ChrX	22150000	0.17098
ChrX	22250000	0.2104
ChrX	22350000	0.23531
ChrX	22450000	0.30169
ChrX	22550000	0.2321
ChrX	22650000	0.19636
ChrX	22750000	0.20054
ChrX	22850000	0.22188
ChrX	22950000	0.15841
ChrX	23050000	0.18216
ChrX	23150000	0.23867
ChrX	23250000	0.24259
ChrX	23350000	0.12849
ChrX	23450000	0.02277
ChrX	23550000	0.0795
ChrX	23650000	0.29076
ChrX	23750000	0.3054
ChrX	23850000	0.21359
ChrX	23950000	0.26564
ChrX	24050000	0.24125
ChrX	24150000	0.35446
ChrX	24250000	0.22083
ChrX	24350000	0.23898
ChrX	24450000	0.26776
ChrX	24550000	0.30835
ChrX	24650000	0.30012
ChrX	24750000	0.31828
ChrX	24850000	0.18577
ChrX	24950000	0.31282
ChrX	25050000	0.35616
ChrX	25150000	0.25036
ChrX	25250000	0.14731
ChrX	25350000	0.2905
ChrX	25450000	0.29476
ChrX	25550000	0.29778
ChrX	25650000	0.28886
ChrX	25750000	0.2621
ChrX	25850000	0.15904
ChrX	25950000	0.23348
ChrX	26050000	0.20229
ChrX	26150000	0.22716
ChrX	26250000	0.15635
ChrX	26350000	0.31338
ChrX	26450000	0.15557
ChrX	26550000	0.26355
ChrX	26650000	0.21739
ChrX	26750000	0.19973
ChrX	26850000	0.17616
ChrX	26950000	0.13282
ChrX	27050000	0.245
ChrX	27150000	0.18814
ChrX	27250000	0.19986
ChrX	27350000	0.15057
ChrX	27450000	0.13124623115577888
ChrX	27550000	0.19272
ChrX	27650000	0.22202
ChrX	27750000	0.24524
ChrX	27850000	0.13986
ChrX	27950000	0.1631
ChrX	28050000	0.15868
ChrX	28150000	0.20235
ChrX	28250000	0.16148
ChrX	28350000	0.12229
ChrX	28450000	0.10178
ChrX	28550000	0.16461
ChrX	28650000	0.17321
ChrX	28750000	0.17562
ChrX	28850000	0.15919
