read_name	read_length	subtel_start	subtel_end	max_tel_dropoff	max_tel_dropoff_position	max_rev_dropoff	max_rev_dropoff_position	difference
89128d96-3ab8-4da7-8ec2-dd758f09ae81	25139	24953	25029	1.0	25025	0.35	966	4
e9b056f6-141d-4b38-9f21-4f65fccdc10f	18795	18567	18680	0.75	18675	0.4	6402	5
eb002fc9-1a20-4479-b8df-f1fa298dab64	20736	20311	20414	0.8	20623	0.45	7531	209
afc554c3-9d6d-4b17-9b65-dcbcb981a989	35855	265	156	0.35	7539	0.8	157	1
13071e2b-dc7b-49b7-835d-6a94c4f83eee	12972	251	177	0.35	2041	0.65	194	17
b327b7ce-4091-4e88-8fc1-31e39df2b6c7	11618	11270	11392	1.0	11389	0.35	1176	3
a8b1eeee-cd0e-4b49-9c75-e9dc12228675	26210	166	92	0.45	16404	0.65	98	6
38984bd4-7f4f-46b5-8d0a-df069b435edd	4982	4781	4882	0.95	4881	0.35	151	1
a6d7768f-c6b0-44e2-9a1b-bc243b26cfbe	3351	3085	3183	0.95	3182	0.35	1261	1
976b6624-6f6c-4ad2-9055-14fd64784b64	11454	11305	11340	0.85	11365	0.35	976	25
68f149ad-1810-483f-aae9-52badcd596c7	18752	18376	18512	0.85	18506	0.35	2637	6
b30dacb8-058c-42ac-8990-3390234f1b57	11066	10678	10792	0.75	10815	0.45	425	23
ae18c46d-f3d7-48b0-ba0b-78b854217ca8	13092	12593	12714	1.0	12711	0.35	520	3
8328801a-e676-4399-80e8-2ee49620817b	10287	205	128	0.4	9624	0.85	164	36
f6230cc3-e0e5-40f5-8941-b619e427e89e	6205	210	81	0.35	2001	1.0	87	6
8265b848-7e9b-4c74-886c-c5df0e501f2d	19560	586	459	0.35	1032	1.0	454	5
4c369638-1ee0-4616-85e9-04a549e55ca1	11783	11468	11601	1.0	11600	0.35	1228	1
94c2debd-a2ca-4ced-9fbc-161bd587520c	17029	354	227	0.35	2139	1.0	233	6
46e39a36-2dd4-44cc-a946-82debab6b6f0	13280	13066	13142	0.95	13134	0.35	62	8
c22ddf1a-d8e8-4879-ae4e-cda93ccd215f	6245	242	131	0.35	2050	1.0	140	9
9cbc55e8-12a6-4a73-8a4d-5a28f71bfbe2	12819	12501	12622	1.0	12613	0.4	867	9
ddaf196e-d373-41e4-8ce6-db98989274d5	8312	8076	8144	0.65	7135	0.35	739	1009
c11f83a7-2660-463b-adeb-ecb61c71504c	20261	405	145	0.35	2194	1.0	147	2
db3d7fa5-4caf-4c4a-9911-491f55e3bf92	18004	17789	17867	0.75	12287	0.35	2067	5580
bdef9119-1cbc-4977-9f01-314e9811c4ca	21686	21391	21512	0.85	21492	0.4	3927	20
91e4f11c-50c2-4f01-aeb3-ed2c0bb8b171	6426	402	271	0.4	523	1.0	255	16
18b98c88-3be3-4193-9f82-2137b3ab4a97	7706	7407	7507	0.95	7506	0.35	27	1
a19c5c4a-c447-4d7d-8cd2-88521c92487e	21187	242	135	0.35	2039	1.0	139	4
883f5e7a-2c09-4b31-879d-fb9e10e1c95f	25171	264	177	0.5	17266	0.75	33	144
98cc5596-f15f-4a6d-b66e-cdfe7107a24b	5964	690	166	0.35	2469	1.0	28	138
c320babd-9069-4ebf-b34a-f0be2b4cc2e1	4725	4426	4497	1.0	4509	0.35	2513	12
b9a972d9-c894-4ee0-9226-b969fe0f3a49	6130	5906	6030	0.95	6027	0.35	1303	3
0ee5b7f0-3621-4844-8a66-3427588450f6	12492	12256	12264	1.0	12265	0.35	2046	1
99d68f9f-cee3-40ff-8a8e-791d1c0ae359	14927	14588	14689	0.8	3450	0.65	1594	11239
8018cef6-76b6-4441-b278-5c04bb811b76	10338	10064	10140	0.65	10126	0.35	2636	14
cc3e3b8b-4ed0-4995-a7c8-b6014eb157d8	27833	27568	27680	0.95	27672	0.35	882	8
840749a5-7cdd-40a0-9949-9aaa67968401	16701	16358	16433	0.8999999999999999	16424	0.4	10652	9
fcedd3c0-6643-4928-b5fe-5ba468919d94	5839	427	298	0.35	2221	1.0	304	6
bfaee2be-740d-45ae-a0a3-109d4e09551a	14036	13881	14005	1.0	13996	0.4	9258	9
eb7dcb6b-3d92-47b7-a47e-a509ce0a8a6b	25239	24879	24991	1.0	24981	0.6	4829	10
6b8cf728-0d62-4a27-9075-e17c85969b2b	39717	39520	39642	1.0	39610	0.4	13040	32
9b70289d-0d39-4c52-9dd2-ad02ffb3d102	20909	220	112	0.35	2011	1.0	121	9
cd6d8e5c-8565-45fc-90c2-ac9677528ca0	38220	278	201	0.35	2071	0.8999999999999999	209	8
5e566e8a-d9a8-42e6-be13-05b4006ecdd6	7669	6912	6999	0.75	7540	0.35	2287	541
0d5c058a-846c-4eb0-acb7-8ef4070685d2	73685	72733	72977	0.45	56900	1.0	255	16077
