scaffold	coordinate	fraction_GC
ChrIV	50000	0.47218
ChrIV	150000	0.44181
ChrIV	250000	0.40339
ChrIV	350000	0.40904522613065325
ChrIV	450000	0.4168181818181818
ChrIV	550000	0.41713131313131313
ChrIV	650000	0.4361005025125628
ChrIV	750000	0.41303
ChrIV	850000	0.41651
ChrIV	950000	0.42851
ChrIV	1050000	0.41012
ChrIV	1150000	0.44338
ChrIV	1250000	0.41423
ChrIV	1350000	0.42577
ChrIV	1450000	0.4185
ChrIV	1550000	0.43183
ChrIV	1650000	0.43357
ChrIV	1750000	0.42878
ChrIV	1850000	0.43092
ChrIV	1950000	0.43228
ChrIV	2050000	0.45186
ChrIV	2150000	0.49131
ChrIV	2250000	0.46697
ChrIV	2350000	0.43342
ChrIV	2450000	0.43009
ChrIV	2550000	0.4787
ChrIV	2650000	0.4564422110552764
ChrIV	2750000	0.4742914572864322
ChrIV	2850000	0.47715
ChrIV	2950000	0.45906
ChrIV	3050000	0.44331
ChrIV	3150000	0.44628
ChrIV	3250000	0.4361
ChrIV	3350000	0.44119
ChrIV	3450000	0.42963
ChrIV	3550000	0.43224
ChrIV	3650000	0.41964
ChrIV	3750000	0.42567
ChrIV	3850000	0.43507
ChrIV	3950000	0.42369
ChrIV	4050000	0.43243
ChrIV	4150000	0.43725
ChrIV	4250000	0.45333
ChrIV	4350000	0.43961
ChrIV	4450000	0.43194
ChrIV	4550000	0.43201
ChrIV	4650000	0.44765
ChrIV	4750000	0.43668
ChrIV	4850000	0.44791
ChrIV	4950000	0.4489
ChrIV	5050000	0.42096
ChrIV	5150000	0.43293467336683417
ChrIV	5250000	0.44560804020100503
ChrIV	5350000	0.4462
ChrIV	5450000	0.43945
ChrIV	5550000	0.44956
ChrIV	5650000	0.44729
ChrIV	5750000	0.44077
ChrIV	5850000	0.4282
ChrIV	5950000	0.43884
ChrIV	6050000	0.44692
ChrIV	6150000	0.43315
ChrIV	6250000	0.45156
ChrIV	6350000	0.45047
ChrIV	6450000	0.43584
ChrIV	6550000	0.44235
ChrIV	6650000	0.44017
ChrIV	6750000	0.45103
ChrIV	6850000	0.44897
ChrIV	6950000	0.4811
ChrIV	7050000	0.44862
ChrIV	7150000	0.4506
ChrIV	7250000	0.43118
ChrIV	7350000	0.44662
ChrIV	7450000	0.45059
ChrIV	7550000	0.4236
ChrIV	7650000	0.4349
ChrIV	7750000	0.43027
ChrIV	7850000	0.42826
ChrIV	7950000	0.43252
ChrIV	8050000	0.43405
ChrIV	8150000	0.4539
ChrIV	8250000	0.45812
ChrIV	8350000	0.4358
ChrIV	8450000	0.44936
ChrIV	8550000	0.4361
ChrIV	8650000	0.4518
ChrIV	8750000	0.42506
ChrIV	8850000	0.45068
ChrIV	8950000	0.443
ChrIV	9050000	0.42456
ChrIV	9150000	0.43486
ChrIV	9250000	0.43321
ChrIV	9350000	0.45097
ChrIV	9450000	0.42557
ChrIV	9550000	0.43772
ChrIV	9650000	0.42568
ChrIV	9750000	0.45009
ChrIV	9850000	0.43151
ChrIV	9950000	0.42967
ChrIV	10050000	0.43498
ChrIV	10150000	0.42983
ChrIV	10250000	0.43062
ChrIV	10350000	0.43478
ChrIV	10450000	0.43268
ChrIV	10550000	0.42165
ChrIV	10650000	0.41897
ChrIV	10750000	0.42235
ChrIV	10850000	0.43173
ChrIV	10950000	0.42505
ChrIV	11050000	0.42302
ChrIV	11150000	0.41743
ChrIV	11250000	0.42823
ChrIV	11350000	0.42456
ChrIV	11450000	0.4348
ChrIV	11550000	0.45986
ChrIV	11650000	0.43539
ChrIV	11750000	0.42476
ChrIV	11850000	0.41996
ChrIV	11950000	0.41808
ChrIV	12050000	0.42703
ChrIV	12150000	0.41696
ChrIV	12250000	0.42376
ChrIV	12350000	0.42441
ChrIV	12450000	0.43964
ChrIV	12550000	0.42383
ChrIV	12650000	0.46536
ChrIV	12750000	0.41425
ChrIV	12850000	0.42551
ChrIV	12950000	0.42711
ChrIV	13050000	0.43562
ChrIV	13150000	0.41889
ChrIV	13250000	0.41594
ChrIV	13350000	0.41383
ChrIV	13450000	0.42053
ChrIV	13550000	0.4279
ChrIV	13650000	0.43382
ChrIV	13750000	0.40476
ChrIV	13850000	0.41357
ChrIV	13950000	0.42024
ChrIV	14050000	0.41602
ChrIV	14150000	0.41588
ChrIV	14250000	0.40049
ChrIV	14350000	0.40014
ChrIV	14450000	0.4377
ChrIV	14550000	0.4369
ChrIV	14650000	0.42313
ChrIV	14750000	0.40805
ChrIV	14850000	0.4055
ChrIV	14950000	0.4075
ChrIV	15050000	0.40718
ChrIV	15150000	0.40004
ChrIV	15250000	0.40214
ChrIV	15350000	0.41536
ChrIV	15450000	0.41023
ChrIV	15550000	0.41169
