scaffold_position	fraction_GC
50000	0.3622
150000	0.36118
250000	0.37037
350000	0.35765
450000	0.3634
550000	0.37186
650000	0.40145
750000	0.38449
850000	0.38206
950000	0.36504
1050000	0.38819
1150000	0.38514
1250000	0.40822
1350000	0.39384
1450000	0.39343
1550000	0.37617
1650000	0.38718
1750000	0.40716
1850000	0.39289
1950000	0.4509619238476954
2050000	0.34707
2150000	0.38047
2250000	0.38227
2350000	0.38401
2450000	0.36379
2550000	0.35768
2650000	0.35722
2750000	0.35412
2850000	0.35404
2950000	0.37195
3050000	0.3606
3150000	0.37666
3250000	0.37189
3350000	0.36613
3450000	0.36276
3550000	0.36663
3650000	0.36192
3750000	0.36687
3850000	0.36448
3950000	0.37742
4050000	0.36237
4150000	0.36694
4250000	0.36806
4350000	0.35452
4450000	0.36746
4550000	0.35996
4650000	0.3652
4750000	0.36618
4850000	0.37187
4950000	0.37068
5050000	0.37367
5150000	0.3699
5250000	0.37492
5350000	0.36625
5450000	0.35861
5550000	0.3563
5650000	0.36499
5750000	0.36453
5850000	0.36822
5950000	0.37403
6050000	0.3764
6150000	0.3712
6250000	0.38315
6350000	0.39644
6450000	0.40719
6550000	0.37363
6650000	0.37306
6750000	0.38331
6850000	0.37231
6950000	0.38349
7050000	0.38492
7150000	0.38243
7250000	0.38011
7350000	0.39143
7450000	0.36811
7550000	0.36205
7650000	0.34952905811623247
7750000	0.36606
7850000	0.3667
7950000	0.36953
8050000	0.37775
8150000	0.38512
8250000	0.38359
8350000	0.38046
8450000	0.3955
8550000	0.37861
8650000	0.38928
8750000	0.38377
8850000	0.37253
8950000	0.37528
9050000	0.37627
9150000	0.3889
9250000	0.38604
9350000	0.37887
9450000	0.36795
9550000	0.3677
9650000	0.37458
9750000	0.35601
9850000	0.35708
9950000	0.35794
10050000	0.36036
10150000	0.36589
10250000	0.36719
10350000	0.36605
10450000	0.36281
10550000	0.38948
10650000	0.36872
10750000	0.4057414829659319
10850000	0.36767
10950000	0.36512
11050000	0.37022
11150000	0.35666
11250000	0.37527
11350000	0.35524
11450000	0.36896
11550000	0.36442
11650000	0.39164
11750000	0.42306
11850000	0.40918
11950000	0.43439
12050000	0.40555
12150000	0.38717
12250000	0.36713
12350000	0.35885
12450000	0.36798
12550000	0.35211
12650000	0.36322
12750000	0.36009
12850000	0.36381
12950000	0.34558
13050000	0.35211
13150000	0.35862
13250000	0.35731
13350000	0.35296
13450000	0.35482
13550000	0.35815
13650000	0.35453
13750000	0.35101
13850000	0.35483
13950000	0.35681
14050000	0.34961
14150000	0.34739
14250000	0.35741
14350000	0.36606
14450000	0.36316
14550000	0.37359
14650000	0.36117
14750000	0.36442
14850000	0.37313
14950000	0.356312625250501
15050000	0.3688
15150000	0.36332
15250000	0.37769
15350000	0.3905
15450000	0.36281563126252503
15550000	0.38405
15650000	0.38403
15750000	0.37445
15850000	0.36529
15950000	0.3744
16050000	0.3836
16150000	0.3819
16250000	0.41947
16350000	0.37434
16450000	0.39133
16550000	0.38989
16650000	0.38215
16750000	0.38905
16850000	0.36588
16950000	0.3816
17050000	0.36909
17150000	0.38751
17250000	0.38295
17350000	0.38362
17450000	0.36917
17550000	0.37921
17650000	0.38227
17750000	0.36635
17850000	0.37475951903807614
17950000	0.36619
18050000	0.37503
18150000	0.38941
18250000	0.39154
18350000	0.37366
18450000	0.37166
18550000	0.37625
18650000	0.38173
18750000	0.39637
18850000	0.38504
