molecule	gene	start	end
DpaA_left	tel	83	1
DpaA_left	subtel repeat	137	84
DpaA_left	subtel repeat	2942	138
DpaA_left	subtel repeat	5748	2943
DpaA_left	subtel repeat	8554	5749
DpaA_left	subtel repeat	11360	8555
DpaA_left	subtel repeat	14167	11361
DpaA_left	subtel repeat	16974	14168
DpaA_left	subtel repeat	19780	16975
DpaA_left	subtel repeat	22586	19781
DpaA_left	subtel repeat	25393	22587
DpaA_left	subtel repeat	28200	25394
DpaA_left	subtel repeat	31006	28201
DpaA_left	subtel repeat	33813	31007
DpaA_left	subtel repeat	36620	33814
DpaA_left	subtel repeat	39427	36621
DpaA_left	subtel repeat	39445	39428
DpaA_right	subtel repeat	85034557	85034607
DpaA_right	subtel repeat	85034608	85037807
DpaA_right	subtel repeat	85037808	85041007
DpaA_right	subtel repeat	85041008	85044207
DpaA_right	subtel repeat	85044208	85047407
DpaA_right	subtel repeat	85047408	85050605
DpaA_right	subtel repeat	85050606	85053805
DpaA_right	subtel repeat	85053806	85057005
DpaA_right	subtel repeat	85057006	85060205
DpaA_right	subtel repeat	85060206	85063405
DpaA_right	subtel repeat	85063406	85066605
DpaA_right	subtel repeat	85066606	85069805
DpaA_right	subtel repeat	85069806	85073005
DpaA_right	subtel repeat	85073006	85076205
DpaA_right	subtel repeat	85076206	85079406
DpaA_right	subtel repeat	85079407	85082607
DpaA_right	subtel repeat	85082608	85085807
DpaA_right	subtel repeat	85085808	85089008
DpaA_right	subtel repeat	85089009	85092209
DpaA_right	subtel repeat	85092210	85095410
DpaA_right	subtel repeat	85095411	85098608
DpaA_right	subtel repeat	85098609	85101806
DpaA_right	subtel repeat	85101807	85103150
DpaB_left	tel	83	1
DpaB_left	subtel repeat	137	84
DpaB_left	subtel repeat	2942	138
DpaB_left	subtel repeat	5748	2943
DpaB_left	subtel repeat	8554	5749
DpaB_left	subtel repeat	11360	8555
DpaB_left	subtel repeat	14167	11361
DpaB_left	subtel repeat	16974	14168
DpaB_left	subtel repeat	19780	16975
DpaB_left	subtel repeat	22586	19781
DpaB_left	subtel repeat	25393	22587
DpaB_left	subtel repeat	28200	25394
DpaB_left	subtel repeat	31006	28201
DpaB_left	subtel repeat	33813	31007
DpaB_left	subtel repeat	36620	33814
DpaB_left	subtel repeat	39427	36621
DpaB_left	subtel repeat	39445	39428
DpaB_right	subtel repeat	88658521	88658575
DpaB_right	subtel repeat	88658576	88661629
DpaB_right	subtel repeat	88661630	88664637
DpaB_right	subtel repeat	88664638	88667645
DpaB_right	subtel repeat	88667646	88670653
DpaB_right	subtel repeat	88670654	88673661
DpaB_right	subtel repeat	88673662	88676669
DpaB_right	subtel repeat	88676670	88679677
DpaB_right	subtel repeat	88679678	88682685
DpaB_right	subtel repeat	88682686	88685693
DpaB_right	subtel repeat	88685694	88688701
DpaB_right	subtel repeat	88688702	88691709
DpaB_right	subtel repeat	88691710	88694717
DpaB_right	subtel repeat	88694718	88697725
DpaB_right	subtel repeat	88697726	88700733
DpaB_right	subtel repeat	88700734	88703182
