scaffold_position	Simple_repeat	Unspecified	sum
50000	0.00255	0.63467	0.63722
150000	0.00854	0.28424	0.29278
250000	0.00804	0.30466	0.3127
350000	0.011372745490981963	0.12356713426853708	0.13493987975951904
450000	0.01422	0.21678	0.231
550000	0.00645	0.22363	0.23008
650000	0.00784	0.14895	0.15679
750000	0.00572	0.14612	0.15184
850000	0.00535	0.14802	0.15337
950000	0.00455	0.10268	0.10723
1050000	0.0087	0.12231	0.13101
1150000	0.01019	0.09337	0.10356
1250000	0.0068	0.14396	0.15076
1350000	0.01528	0.11142	0.1267
1450000	0.00715	0.13553	0.14268
1550000	0.00933	0.17833	0.18766
1650000	0.00737	0.12188	0.12925
1750000	0.00723	0.19807	0.2053
1850000	0.01347	0.14895	0.16242
1950000	0.02066	0.12061	0.14127
2050000	0.00674	0.20372	0.21046
2150000	0.03206412825651302	0.9209919839679359	0.9530561122244489
2250000	0.02302	0.67102	0.69404
2350000	0.00394	0.05526	0.0592
2450000	0.00789	0.1736	0.18149
2550000	0.00481	0.22324	0.22805
2650000	0.00779	0.27639	0.28418
2750000	0.00886	0.08045	0.08931
2850000	0.01021	0.04773	0.05794
2950000	0.00786	0.10147	0.10933
3050000	0.01011	0.14443	0.15454
3150000	0.00919	0.19055	0.19974
3250000	0.00433	0.14391	0.14824
3350000	0.00786	0.11529	0.12315
3450000	0.00325	0.14354	0.14679
3550000	0.00551	0.05972	0.06523
3650000	0.00814	0.10288	0.11102
3750000	0.007	0.13841	0.14541
3850000	0.00383	0.15069	0.15452
3950000	0.00518	0.12204	0.12722
4050000	0.00385	0.1931	0.19695
4150000	0.00602	0.1201	0.12612
4250000	0.00558	0.12643	0.13201
4350000	0.00794	0.1155	0.12344
4450000	0.00299	0.4246	0.42759
4550000	0.00273	0.21052	0.21325
4650000	0.00677	0.17544	0.18221
4750000	0.00808	0.13405	0.14213
4850000	0.01226	0.03009	0.04235
4950000	0.00589	0.06744	0.07333
5050000	0.00888	0.05525	0.06413
5150000	0.00712	0.05847	0.06559
5250000	0.00919	0.07814	0.08733
5350000	0.01144	0.08969	0.10113
5450000	0.00726	0.14366	0.15092
5550000	0.00607	0.10596	0.11203
5650000	0.01193	0.14471	0.15664
5750000	0.01168	0.08144	0.09312
5850000	0.01161	0.08082	0.09243
5950000	0.01219	0.15259	0.16478
6050000	0.00377	0.39846	0.40223
6150000	0.00451	0.23001	0.23452
6250000	0.00436	0.20276	0.20712
6350000	0.00581	0.20902	0.21483
6450000	0.00769	0.21763	0.22532
6550000	0.00702	0.03483	0.04185
6650000	0.00788	0.17352	0.1814
6750000	0.00935	0.08629	0.09564
6850000	0.00738	0.06551	0.07289
6950000	0.00673	0.16557	0.1723
7050000	0.00027	0.99183	0.9921
7150000	0.00695	0.44552	0.45247
7250000	0.00575	0.1791	0.18485
7350000	0.00314	0.09747	0.10061
7450000	0.01289	0.14146	0.15435
7550000	0.01106	0.07872	0.08978
7650000	0.00853	0.11973	0.12826
7750000	0.01245	0.09038	0.10283
7850000	0.01023	0.08975	0.09998
7950000	0.01038	0.17865	0.18903
8050000	0.0098	0.19563	0.20543
8150000	0.00895	0.17101	0.17996
8250000	0.01157	0.11814	0.12971
8350000	0.00588	0.10353	0.10941
8450000	0.00698	0.23814	0.24512
8550000	0.00524	0.13869	0.14393
8650000	0.00887	0.08752	0.09639
8750000	0.00759	0.09659	0.10418
8850000	0.0095	0.07922	0.08872
8950000	0.01015	0.24383	0.25398
9050000	0.00993	0.15037	0.1603
9150000	0.00922	0.1488	0.15802
9250000	0.0092	0.15423	0.16343
9350000	0.01941	0.11882	0.13823
9450000	0.01054	0.06452	0.07506
9550000	0.0068	0.21796	0.22476
9650000	0.00645	0.17266	0.17911
9750000	0.00765	0.18114	0.18879
9850000	0.00793	0.14404	0.15197
9950000	0.00491	0.1712	0.17611
10050000	0.00522	0.258	0.26322
10150000	0.00539	0.13983	0.14522
10250000	0.00609	0.16111	0.1672
10350000	0.00606	0.2447	0.25076
10450000	0.00661	0.09503	0.10164
10550000	0.00749	0.09556	0.10305
10650000	0.00905	0.16032	0.16937
10750000	0.00298	0.26085	0.26383
10850000	0.00619	0.17337	0.17956
10950000	0.00413	0.05437	0.0585
11050000	0.0102	0.11264	0.12284
11150000	0.00722	0.09877	0.10599
11250000	0.00372	0.33493	0.33865
11350000	0.0141	0.08986	0.10396
11450000	0.01454	0.0531	0.06764
11550000	0.00719	0.04893	0.05612
11650000	0.012	0.33616	0.34816
11750000	0.00826	0.22757	0.23583
11850000	0.01148	0.43537	0.44685
11950000	0.01315	0.05424	0.06739
12050000	0.01659	0.01658	0.03317
12150000	0.01545	0.1046	0.12005
12250000	0.01395	0.21611	0.23006
12350000	0.01724	0.04948	0.06672
12450000	0.00983	0.03879	0.04862
12550000	0.01932	0.05695	0.07627
12650000	0.01017	0.10104	0.11121
12750000	0.01358	0.10478	0.11836
12850000	0.02004	0.08355	0.10359
12950000	0.00774	0.38165	0.38939
13050000	0.01356	0.25005	0.26361
13150000	0.01672	0.06191	0.07863
13250000	0.01341	0.108	0.12141
13350000	0.01416	0.04868	0.06284
13450000	0.01512	0.12351	0.13863
13550000	0.01281	0.13629	0.1491
13650000	0.01786	0.05611	0.07397
13750000	0.01589	0.12723	0.14312
13850000	0.014	0.08457	0.09857
13950000	0.01079	0.14054	0.15133
14050000	0.01303	0.06725	0.08028
14150000	0.01349	0.03137	0.04486
14250000	0.00745	0.09579	0.10324
14350000	0.00896	0.2486	0.25756
14450000	0.00907	0.08432	0.09339
14550000	0.00554	0.31037	0.31591
14650000	0.01419	0.05888	0.07307
14750000	0.0088	0.08734	0.09614
14850000	0.00503	0.14222	0.14725
14950000	0.01089	0.04988	0.06077
15050000	0.00674	0.10561	0.11235
15150000	0.00621	0.10075	0.10696
15250000	0.00225	0.16997	0.17222
15350000	0.00581	0.07327	0.07908
15450000	0.00452	0.09865	0.10317
15550000	0.00473	0.22072	0.22545
15650000	0.00326	0.08905	0.09231
15750000	0.0033	0.08794	0.09124
15850000	0.0045	0.11233	0.11683
15950000	0.00871	0.0683	0.07701
16050000	0.00639	0.15376	0.16015
16150000	0.00653	0.10253	0.10906
16250000	0.00532	0.08754	0.09286
16350000	0.00581	0.15451	0.16032
16450000	0.00461	0.1311	0.13571
16550000	0.00987	0.1642	0.17407
16650000	0.00951	0.21365	0.22316
16750000	0.00723	0.12339	0.13062
16850000	0.01216	0.15823	0.17039
16950000	0.00895	0.13732	0.14627
17050000	0.01127	0.16921	0.18048
17150000	0.01225	0.101	0.11325
17250000	0.00803	0.12919	0.13722
17350000	0.00931	0.21222	0.22153
17450000	0.01144	0.20027	0.21171
17550000	0.00982	0.18362	0.19344
17650000	0.01405	0.0829	0.09695
17750000	0.00633	0.09424	0.10057
17850000	0.0126	0.10071	0.11331
17950000	0.00716	0.18243	0.18959
18050000	0.01486	0.30013	0.31499
18150000	0.02567	0.0557	0.08137
18250000	0.00392	0.22284	0.22676
18350000	0.01357	0.13588	0.14945
18450000	0.00699	0.22235	0.22934
18550000	0.00956	0.26519	0.27475
18650000	0.01291	0.18274	0.19565
18750000	0.00697	0.28906	0.29603
18850000	0.0148	0.28604	0.30084
18950000	0.01205	0.2326	0.24465
19050000	0.00977	0.17767	0.18744
19150000	0.01198	0.24992	0.2619
19250000	0.00522	0.11666	0.12188
19350000	0.00782	0.22294	0.23076
19450000	0.00526	0.30568	0.31094
19550000	0.00534	0.15877	0.16411
19650000	0.0133	0.16193	0.17523
19750000	0.011	0.17232	0.18332
19850000	0.00907815631262525	0.2820140280561122	0.29109218436873746
19950000	0.01294	0.10103	0.11397
20050000	0.01113	0.17181	0.18294
20150000	0.0111	0.13606	0.14716
20250000	0.01104	0.14004	0.15108
20350000	0.01707	0.09321	0.11028
20450000	0.01424	0.17754	0.19178
20550000	0.01762	0.11766	0.13528
20650000	0.00799	0.17217	0.18016
20750000	0.0094	0.24082	0.25022
20850000	0.01281	0.26474	0.27755
20950000	0.0119	0.17354	0.18544
21050000	0.0157	0.11557	0.13127
21150000	0.00725	0.18444	0.19169
21250000	0.01476	0.10642	0.12118
21350000	0.01094	0.10704	0.11798
21450000	0.00976	0.16187	0.17163
21550000	0.01246	0.17827	0.19073
21650000	0.01438	0.20595	0.22033
21750000	0.00954	0.3308	0.34034
21850000	0.01978	0.05551	0.07529
21950000	0.01073	0.2049	0.21563
22050000	0.01436	0.21041	0.22477
22150000	0.0153	0.14607	0.16137
22250000	0.01767	0.09701	0.11468
22350000	0.00563	0.35578	0.36141
22450000	0.01513	0.17907	0.1942
22550000	0.00836	0.14861	0.15697
22650000	0.00982	0.23618	0.246
22750000	0.01333	0.19939	0.21272
22850000	0.00953	0.22832	0.23785
22950000	0.00781	0.16219	0.17
23050000	0.01252	0.15637	0.16889
23150000	0.00833	0.17272	0.18105
23250000	0.00773	0.14223	0.14996
23350000	0.00775	0.16312	0.17087
23450000	0.01035	0.12012	0.13047
23550000	0.00632	0.18012	0.18644
23650000	0.00293	0.10604	0.10897
23750000	0.00634	0.05813	0.06447
23850000	0.008276553106212425	0.1526553106212425	0.1609318637274549
23950000	0.0106	0.16682	0.17742
24050000	0.00751	0.18094	0.18845
24150000	0.00498	0.05743	0.06241
24250000	0.00866	0.06877	0.07743
24350000	0.0044	0.03106	0.03546
24450000	0.0052	0.19352	0.19872
24550000	0.0066	0.11895	0.12555
24650000	0.00787	0.02896	0.03683
24750000	0.00651	0.10845	0.11496
24850000	0.0043	0.09838	0.10268
24950000	0.00861	0.0673	0.07591
25050000	0.00774	0.07484	0.08258
25150000	0.00621	0.11744	0.12365
25250000	0.01057	0.04739	0.05796
25350000	0.00918	0.11337	0.12255
25450000	0.0053	0.09396	0.09926
25550000	0.0087	0.08914	0.09784
25650000	0.00536	0.09225	0.09761
25750000	0.00623	0.11925	0.12548
25850000	0.0163	0.09538	0.11168
25950000	0.01128	0.04821	0.05949
26050000	0.01598	0.07389	0.08987
26150000	0.0063	0.0654	0.0717
26250000	0.01164	0.04078	0.05242
26350000	0.01322	0.05723	0.07045
26450000	0.01134	0.08821	0.09955
26550000	0.00936	0.08007	0.08943
26650000	0.01569	0.03852	0.05421
26750000	0.01244	0.16155	0.17399
26850000	0.0146	0.02311	0.03771
26950000	0.01198	0.04396	0.05594
27050000	0.00843	0.09907	0.1075
27150000	0.00861	0.08877	0.09738
27250000	0.00816	0.33436	0.34252
27350000	0.02021	0.22736	0.24757
27450000	0.01584	0.30598	0.32182
27550000	0.01873	0.13852	0.15725
27650000	0.01443	0.15457	0.169
27750000	0.0113	0.16025	0.17155
27850000	0.00846	0.06306	0.07152
27950000	0.01134	0.07057	0.08191
28050000	0.00854	0.04599	0.05453
28150000	0.01131	0.13242	0.14373
28250000	0.0069	0.07784	0.08474
28350000	0.00962	0.06508	0.0747
28450000	0.00987	0.16501	0.17488
28550000	0.00346	0.11305	0.11651
28650000	0.01103	0.07163	0.08266
28750000	0.00667	0.53935	0.54602
28850000	0.00492	0.05531	0.06023
28950000	0.008627254509018037	0.10198396793587175	0.11061122244488977
29050000	0.00628	0.31335	0.31963
29150000	0.00528	0.09592	0.1012
29250000	0.00709	0.21171	0.2188
29350000	0.00961	0.16079	0.1704
29450000	0.01125	0.10461	0.11586
29550000	0.00573	0.25226	0.25799
29650000	0.0086	0.11992	0.12852
29750000	0.01408	0.06371	0.07779
29850000	0.0125	0.07442	0.08692
29950000	0.00799	0.05636	0.06435
30050000	0.00666	0.07973	0.08639
30150000	0.00573	0.12365	0.12938
30250000	0.00713	0.06888	0.07601
30350000	0.00542	0.15584	0.16126
30450000	0.0101	0.04296	0.05306
30550000	0.00984	0.07119	0.08103
30650000	0.0082	0.11027	0.11847
30750000	0.00776	0.06701	0.07477
30850000	0.00699	0.08185	0.08884
30950000	0.00334	0.30961	0.31295
31050000	0.01031	0.10086	0.11117
31150000	0.00903	0.12472	0.13375
31250000	0.00443	0.24165	0.24608
31350000	0.00679	0.0788	0.08559
31450000	0.00608	0.06459	0.07067
31550000	0.00929	0.31727	0.32656
31650000	0.01205	0.08732	0.09937
31750000	0.00691	0.28874	0.29565
31850000	0.00867	0.18716	0.19583
31950000	0.01034	0.17626	0.1866
32050000	0.00659	0.17907	0.18566
32150000	0.00683	0.22739	0.23422
32250000	0.0167	0.08679	0.10349
32350000	0.01793	0.11473	0.13266
32450000	0.01965	0.16857	0.18822
32550000	0.00712	0.45998	0.4671
32650000	0.01132	0.06632	0.07764
32750000	0.00706	0.34475	0.35181
32850000	0.00785	0.06934	0.07719
32950000	0.00963	0.03462	0.04425
33050000	0.00681	0.12369	0.1305
33150000	0.00391	0.10864	0.11255
33250000	0.00683	0.09318	0.10001
33350000	0.00791	0.19555	0.20346
33450000	0.01224	0.09949	0.11173
33550000	0.00868	0.09054	0.09922
33650000	0.00649	0.18475	0.19124
33750000	0.00928	0.26231	0.27159
33850000	0.00564	0.36568	0.37132
33950000	0.00642	0.18329	0.18971
34050000	0.0091	0.06641	0.07551
34150000	0.00878	0.09584	0.10462
34250000	0.00798	0.12271	0.13069
34350000	0.00553	0.141	0.14653
34450000	0.003657314629258517	0.15437875751503005	0.15803607214428858
34550000	0.0072	0.27612	0.28332
34650000	0.00901	0.16931	0.17832
34750000	0.01079	0.14303	0.15382
34850000	0.00577	0.18188	0.18765
34950000	0.00603	0.13816	0.14419
35050000	0.00637	0.43378	0.44015
35150000	0.00496	0.19833	0.20329
35250000	0.00829	0.09717	0.10546
35350000	0.00671	0.17225	0.17896
35450000	0.00571	0.02364	0.02935
35550000	0.01124	0.04931	0.06055
35650000	0.00972	0.28367	0.29339
35750000	0.01629	0.23134	0.24763
35850000	0.01317	0.29228	0.30545
35950000	0.01503	0.13032	0.14535
36050000	0.00766	0.11393	0.12159
36150000	0.0095	0.23617	0.24567
36250000	0.00833	0.16935	0.17768
36350000	0.00537	0.25902	0.26439
36450000	0.01066	0.14726	0.15792
36550000	0.00644	0.20512	0.21156
36650000	0.01059	0.14006	0.15065
36750000	0.00942	0.08222	0.09164
36850000	0.01146	0.07437	0.08583
36950000	0.00909	0.06467	0.07376
37050000	0.00773	0.20033	0.20806
37150000	0.01389	0.03609	0.04998
37250000	0.00665	0.2065	0.21315
37350000	0.01167	0.30027	0.31194
37450000	0.00956	0.19965	0.20921
37550000	0.009	0.18593	0.19493
37650000	0.01097	0.18127	0.19224
37750000	0.00504	0.26307	0.26811
37850000	0.00669	0.22499	0.23168
37950000	0.0107	0.22775	0.23845
38050000	0.01072	0.23986	0.25058
38150000	0.0055	0.15824	0.16374
38250000	0.01382	0.14652	0.16034
38350000	0.01152	0.26022	0.27174
38450000	0.00555	0.2133	0.21885
38550000	0.00686	0.30352	0.31038
38650000	0.00336	0.30974	0.3131
38750000	0.00581	0.08788	0.09369
38850000	0.00704	0.1182	0.12524
38950000	0.0034	0.029	0.0324
39050000	0.01001	0.08465	0.09466
39150000	0.00719	0.17096	0.17815
39250000	0.00859	0.09249	0.10108
39350000	0.00814	0.18142	0.18956
39450000	0.00847	0.06744	0.07591
39550000	0.0108	0.22143	0.23223
39650000	0.00767	0.13064	0.13831
39750000	0.00685	0.06034	0.06719
39850000	0.00389	0.63717	0.64106
39950000	0.01029	0.24789	0.25818
40050000	0.01603	0.02923	0.04526
40150000	0.00859	0.06333	0.07192
40250000	0.00643	0.34878	0.35521
40350000	0.0085	0.30971	0.31821
40450000	0.01163	0.18142	0.19305
40550000	0.01313	0.15098	0.16411
40650000	0.01083	0.05123	0.06206
40750000	0.01346	0.21287	0.22633
40850000	0.00918	0.08554	0.09472
40950000	0.00679	0.31434	0.32113
41050000	0.0132	0.05387	0.06707
41150000	0.01619	0.13472	0.15091
41250000	0.00948	0.10985	0.11933
41350000	0.01371	0.15101	0.16472
41450000	0.01032	0.15184	0.16216
41550000	0.01317	0.19291	0.20608
41650000	0.01697	0.13328	0.15025
41750000	0.01359	0.03846	0.05205
41850000	0.00773	0.09941	0.10714
41950000	0.00424	0.13577	0.14001
42050000	0.01497	0.06802	0.08299
42150000	0.01229	0.24789	0.26018
42250000	0.00933	0.17258	0.18191
42350000	0.0084	0.12171	0.13011
42450000	0.01029	0.04558	0.05587
42550000	0.01131	0.10296	0.11427
42650000	0.00543	0.12507	0.1305
42750000	0.00747	0.20621	0.21368
42850000	0.00811	0.05531	0.06342
42950000	0.00459	0.27433	0.27892
43050000	0.00857	0.03333	0.0419
43150000	0.00429	0.18936	0.19365
43250000	0.00809	0.11796	0.12605
43350000	0.01624	0.06508	0.08132
43450000	0.0098	0.08673	0.09653
43550000	0.01096	0.07432	0.08528
43650000	0.00795	0.09903	0.10698
43750000	0.010981963927855712	0.24079158316633267	0.25177354709418837
43850000	0.00387	0.3289	0.33277
43950000	0.019	0.11682	0.13582
44050000	0.01175	0.1468	0.15855
44150000	0.00953	0.42039	0.42992
44250000	0.0098	0.24577	0.25557
44350000	0.01861	0.12672	0.14533
44450000	0.01718	0.10035	0.11753
44550000	0.00544	0.39426	0.3997
44650000	0.0068	0.10543	0.11223
44750000	0.01098	0.07673	0.08771
44850000	0.0105	0.18481	0.19531
44950000	0.01065	0.10484	0.11549
45050000	0.01548	0.08562	0.1011
45150000	0.0119	0.09907	0.11097
45250000	0.00387	0.12607	0.12994
45350000	0.01036	0.06791	0.07827
45450000	0.01006	0.08457	0.09463
45550000	0.00601	0.16342	0.16943
45650000	0.00972	0.04183	0.05155
45750000	0.00808	0.07188	0.07996
45850000	0.00907	0.07856	0.08763
45950000	0.00986	0.12315	0.13301
46050000	0.00757	0.14576	0.15333
46150000	0.00748	0.13843	0.14591
46250000	0.00803	0.08936	0.09739
46350000	0.00711	0.08722	0.09433
46450000	0.00918	0.10666	0.11584
46550000	0.007915831663326654	0.11003006012024048	0.11794589178356714
46650000	0.008	0.14026	0.14826
46750000	0.00354	0.31222	0.31576
46850000	0.00462	0.16298	0.1676
46950000	0.01049	0.06908	0.07957
47050000	0.0104	0.14261	0.15301
47150000	0.01104	0.09667	0.10771
47250000	0.01006	0.09472	0.10478
47350000	0.00739	0.1499	0.15729
47450000	0.01053	0.07442	0.08495
47550000	0.00368	0.17908	0.18276
47650000	0.00675	0.18206	0.18881
47750000	0.009108216432865732	0.21089178356713426	0.22
47850000	0.00461	0.31495	0.31956
47950000	0.01284	0.11418	0.12702
48050000	0.00642	0.15277	0.15919
48150000	0.0098	0.05179	0.06159
48250000	0.00429	0.03193	0.03622
48350000	0.00936	0.46013	0.46949
48450000	0.00818	0.03653	0.04471
48550000	0.00666	0.08182	0.08848
48650000	0.00711	0.0994	0.10651
48750000	0.00983	0.06625	0.07608
48850000	0.01144	0.10958	0.12102
48950000	0.01097	0.11244	0.12341
49050000	0.01065	0.14488	0.15553
49150000	0.00718	0.49592	0.5031
49250000	0.00751	0.33091	0.33842
49350000	0.01426	0.06275	0.07701
49450000	0.00875	0.0995	0.10825
49550000	0.01077	0.05979	0.07056
49650000	0.00645	0.04211	0.04856
49750000	0.00451	0.21905	0.22356
49850000	0.00779	0.04562	0.05341
49950000	0.00924	0.07594	0.08518
50050000	0.01981	0.06102	0.08083
50150000	0.01185	0.16453	0.17638
50250000	0.01211	0.156	0.16811
50350000	0.01102	0.12297	0.13399
50450000	0.01398	0.05946	0.07344
50550000	0.01046	0.20136	0.21182
50650000	0.00998	0.05972	0.0697
50750000	0.01734	0.03191	0.04925
50850000	0.01229	0.08962	0.10191
50950000	0.01459	0.0648	0.07939
51050000	0.01915	0.05893	0.07808
51150000	0.01342	0.02402	0.03744
51250000	0.00848	0.0841	0.09258
51350000	0.01613	0.05596	0.07209
51450000	0.00657	0.08869	0.09526
51550000	0.00808	0.0409	0.04898
