scaffold	coordinate	Simple_repeat	Unspecified	sum
ChrIV	50000	0.0	0.92651	0.92651
ChrIV	150000	0.00357	0.41845	0.42202
ChrIV	250000	0.00878	0.4171	0.42588
ChrIV	350000	0.01256281407035176	0.33277386934673364	0.3453366834170854
ChrIV	450000	0.01305050505050505	0.4238585858585859	0.4369090909090909
ChrIV	550000	0.035161616161616165	0.1998080808080808	0.23496969696969697
ChrIV	650000	0.008160804020100502	0.4808341708542714	0.4889949748743719
ChrIV	750000	0.00926	0.18283	0.19209
ChrIV	850000	0.01499	0.10315	0.11814
ChrIV	950000	0.0139	0.15654	0.17044
ChrIV	1050000	0.00633	0.40396	0.41029
ChrIV	1150000	0.01061	0.14296	0.15357
ChrIV	1250000	0.00564	0.27687	0.28251
ChrIV	1350000	0.00655	0.2018	0.20835
ChrIV	1450000	0.0101	0.25564	0.26574
ChrIV	1550000	0.00859	0.29733	0.30592
ChrIV	1650000	0.00881	0.29511	0.30392
ChrIV	1750000	0.01144	0.24026	0.2517
ChrIV	1850000	0.00979	0.38697	0.39676
ChrIV	1950000	0.0066	0.3653	0.3719
ChrIV	2050000	0.00713	0.43886	0.44599
ChrIV	2150000	0.00278	0.84868	0.85146
ChrIV	2250000	0.00168	0.85441	0.85609
ChrIV	2350000	0.00684	0.47032	0.47716
ChrIV	2450000	0.00657	0.39484	0.40141
ChrIV	2550000	0.00751	0.45297	0.46048
ChrIV	2650000	0.023326633165829145	0.7418492462311558	0.765175879396985
ChrIV	2750000	0.0016180904522613065	0.6961306532663316	0.697748743718593
ChrIV	2850000	0.00554	0.58714	0.59268
ChrIV	2950000	0.01271	0.36353	0.37624
ChrIV	3050000	0.00858	0.23666	0.24524
ChrIV	3150000	0.00683	0.38689	0.39372
ChrIV	3250000	0.00467	0.36396	0.36863
ChrIV	3350000	0.00909	0.30385	0.31294
ChrIV	3450000	0.00796	0.39979	0.40775
ChrIV	3550000	0.00383	0.44111	0.44494
ChrIV	3650000	0.0104	0.44227	0.45267
ChrIV	3750000	0.00859	0.24953	0.25812
ChrIV	3850000	0.00772	0.3328	0.34052
ChrIV	3950000	0.01016	0.18706	0.19722
ChrIV	4050000	0.00797	0.30586	0.31383
ChrIV	4150000	0.00707	0.22732	0.23439
ChrIV	4250000	0.0064	0.45786	0.46426
ChrIV	4350000	0.00821	0.33541	0.34362
ChrIV	4450000	0.06944	0.24111	0.31055
ChrIV	4550000	0.00956	0.31348	0.32304
ChrIV	4650000	0.01177	0.23554	0.24731
ChrIV	4750000	0.01214	0.21784	0.22998
ChrIV	4850000	0.00557	0.34933	0.3549
ChrIV	4950000	0.00795	0.26133	0.26928
ChrIV	5050000	0.01121	0.29343	0.30464
ChrIV	5150000	0.0059195979899497484	0.27241206030150755	0.2783316582914573
ChrIV	5250000	0.009165829145728643	0.3277286432160804	0.336894472361809
ChrIV	5350000	0.01063	0.23199	0.24262
ChrIV	5450000	0.01144	0.268	0.27944
ChrIV	5550000	0.00683	0.1933	0.20013
ChrIV	5650000	0.00672	0.32757	0.33429
ChrIV	5750000	0.00484	0.28211	0.28695
ChrIV	5850000	0.0096	0.35754	0.36714
ChrIV	5950000	0.00553	0.27267	0.2782
ChrIV	6050000	0.00503	0.21073	0.21576
ChrIV	6150000	0.01028	0.31553	0.32581
ChrIV	6250000	0.0068	0.26501	0.27181
ChrIV	6350000	0.00615	0.20051	0.20666
ChrIV	6450000	0.0105	0.54691	0.55741
ChrIV	6550000	0.00451	0.2425	0.24701
ChrIV	6650000	0.00651	0.2501	0.25661
ChrIV	6750000	0.00822	0.18921	0.19743
ChrIV	6850000	0.0012	0.33252	0.33372
ChrIV	6950000	0.00147	0.38746	0.38893
ChrIV	7050000	0.00553	0.278	0.28353
ChrIV	7150000	0.00388	0.27512	0.279
ChrIV	7250000	0.00764	0.32528	0.33292
ChrIV	7350000	0.00541	0.52893	0.53434
ChrIV	7450000	0.01565	0.14549	0.16114
ChrIV	7550000	0.00395	0.33636	0.34031
ChrIV	7650000	0.00421	0.64843	0.65264
ChrIV	7750000	0.00651	0.46039	0.4669
ChrIV	7850000	0.00969	0.1803	0.18999
ChrIV	7950000	0.00602	0.29225	0.29827
ChrIV	8050000	0.00546	0.3	0.30546
ChrIV	8150000	0.00951	0.2022	0.21171
ChrIV	8250000	0.00862	0.27771	0.28633
ChrIV	8350000	0.00434	0.3937	0.39804
ChrIV	8450000	0.01377	0.23029	0.24406
ChrIV	8550000	0.00976	0.21306	0.22282
ChrIV	8650000	0.0114	0.21766	0.22906
ChrIV	8750000	0.00561	0.20644	0.21205
ChrIV	8850000	0.00383	0.18179	0.18562
ChrIV	8950000	0.01572	0.29464	0.31036
ChrIV	9050000	0.00609	0.2623	0.26839
ChrIV	9150000	0.00603	0.16696	0.17299
ChrIV	9250000	0.01081	0.15399	0.1648
ChrIV	9350000	0.00812	0.12722	0.13534
ChrIV	9450000	0.00357	0.14738	0.15095
ChrIV	9550000	0.00715	0.26838	0.27553
ChrIV	9650000	0.00665	0.26126	0.26791
ChrIV	9750000	0.0073	0.25747	0.26477
ChrIV	9850000	0.00424	0.24464	0.24888
ChrIV	9950000	0.00442	0.22532	0.22974
ChrIV	10050000	0.00877	0.14043	0.1492
ChrIV	10150000	0.00554	0.25358	0.25912
ChrIV	10250000	0.00379	0.21761	0.2214
ChrIV	10350000	0.0055	0.29827	0.30377
ChrIV	10450000	0.00379	0.2954	0.29919
ChrIV	10550000	0.00623	0.22879	0.23502
ChrIV	10650000	0.00771	0.16596	0.17367
ChrIV	10750000	0.01272	0.37552	0.38824
ChrIV	10850000	0.00486	0.55232	0.55718
ChrIV	10950000	0.00233	0.18816	0.19049
ChrIV	11050000	0.00725	0.14921	0.15646
ChrIV	11150000	0.00479	0.31057	0.31536
ChrIV	11250000	0.01026	0.23582	0.24608
ChrIV	11350000	0.00698	0.1738	0.18078
ChrIV	11450000	0.00559	0.36401	0.3696
ChrIV	11550000	0.00101	0.61976	0.62077
ChrIV	11650000	0.00775	0.17624	0.18399
ChrIV	11750000	0.00335	0.24892	0.25227
ChrIV	11850000	0.00627	0.32767	0.33394
ChrIV	11950000	0.0054	0.22493	0.23033
ChrIV	12050000	0.01022	0.13985	0.15007
ChrIV	12150000	0.00343	0.255	0.25843
ChrIV	12250000	0.00537	0.14537	0.15074
ChrIV	12350000	0.00571	0.18496	0.19067
ChrIV	12450000	0.00812	0.12997	0.13809
ChrIV	12550000	0.00404	0.26596	0.27
ChrIV	12650000	0.00153	0.54055	0.54208
ChrIV	12750000	0.00471	0.25219	0.2569
ChrIV	12850000	0.00651	0.31267	0.31918
ChrIV	12950000	0.01304	0.17029	0.18333
ChrIV	13050000	0.0143	0.18017	0.19447
ChrIV	13150000	0.01737	0.28318	0.30055
ChrIV	13250000	0.00415	0.20477	0.20892
ChrIV	13350000	0.00735	0.1596	0.16695
ChrIV	13450000	0.00967	0.11279	0.12246
ChrIV	13550000	0.00077	0.30785	0.30862
ChrIV	13650000	0.01143	0.29033	0.30176
ChrIV	13750000	0.01826	0.26055	0.27881
ChrIV	13850000	0.01349	0.10807	0.12156
ChrIV	13950000	0.01026	0.0626	0.07286
ChrIV	14050000	0.02233	0.07906	0.10139
ChrIV	14150000	0.00297	0.08739	0.09036
ChrIV	14250000	0.00537	0.19761	0.20298
ChrIV	14350000	0.00657	0.15613	0.1627
ChrIV	14450000	0.00478	0.35623	0.36101
ChrIV	14550000	0.00658	0.43693	0.44351
ChrIV	14650000	0.00995	0.13679	0.14674
ChrIV	14750000	0.00563	0.25671	0.26234
ChrIV	14850000	0.00433	0.28508	0.28941
ChrIV	14950000	0.0057	0.23416	0.23986
ChrIV	15050000	0.00945	0.24853	0.25798
ChrIV	15150000	0.00258	0.3916	0.39418
ChrIV	15250000	0.00558	0.19264	0.19822
ChrIV	15350000	0.00771	0.22013	0.22784
