scaffold_position	fraction_Arima_RE
50000	0.02748
150000	0.02933
250000	0.03287
350000	0.02589
450000	0.03005
550000	0.0294
650000	0.03277
750000	0.03049
850000	0.02818
950000	0.02737
1050000	0.02842
1150000	0.02918
1250000	0.03306
1350000	0.03178
1450000	0.03166
1550000	0.03328
1650000	0.03224
1750000	0.03344
1850000	0.0308
1950000	0.03332
2050000	0.03062
2150000	0.03278557114228457
2250000	0.03171
2350000	0.03232
2450000	0.03344
2550000	0.03245
2650000	0.02889
2750000	0.02805
2850000	0.02915
2950000	0.02757
3050000	0.02793
3150000	0.03222
3250000	0.03041
3350000	0.02938
3450000	0.02996
3550000	0.03108
3650000	0.03189
3750000	0.03074
3850000	0.03457
3950000	0.0318
4050000	0.0354
4150000	0.03317
4250000	0.03539
4350000	0.0323
4450000	0.03321
4550000	0.03222
4650000	0.03304
4750000	0.03281
4850000	0.03218
4950000	0.03397
5050000	0.03093
5150000	0.03246
5250000	0.03379
5350000	0.03468
5450000	0.03279
5550000	0.03266
5650000	0.03054
5750000	0.03261
5850000	0.03158
5950000	0.03228
6050000	0.03171
6150000	0.03214
6250000	0.03221
6350000	0.03392
6450000	0.03208
6550000	0.03287
6650000	0.00629
6750000	0.01466
6850000	0.03397
6950000	0.03422
7050000	0.03135
7150000	0.03221
7250000	0.03492
7350000	0.03397
7450000	0.03684
7550000	0.03569
7650000	0.03669
7750000	0.03542
7850000	0.03135
7950000	0.03269
8050000	0.029809619238476952
8150000	0.03392
8250000	0.03148
8350000	0.03022
8450000	0.03269
8550000	0.03266
8650000	0.03329
8750000	0.03766
8850000	0.03644
8950000	0.03462
9050000	0.03226
9150000	0.03571
9250000	0.03441
9350000	0.03234
9450000	0.03344
9550000	0.03945
9650000	0.03309
9750000	0.03305
9850000	0.03105
9950000	0.03058
10050000	0.03471
10150000	0.0316
10250000	0.03298
10350000	0.02987
10450000	0.03034
10550000	0.02723
10650000	0.02993
10750000	0.03089
10850000	0.02776
10950000	0.03271
11050000	0.03
11150000	0.03644
11250000	0.04143
11350000	0.02982
11450000	0.0285
11550000	0.02999
11650000	0.02811
11750000	0.03063
11850000	0.02835
11950000	0.0301
12050000	0.02675
12150000	0.03422
12250000	0.03402
12350000	0.0351
12450000	0.03486
12550000	0.03507
12650000	0.0328
12750000	0.03298
12850000	0.02816
12950000	0.02934
13050000	0.02779
13150000	0.02973
13250000	0.02798
13350000	0.03063
13450000	0.03084
13550000	0.02733
13650000	0.02726
13750000	0.02748
13850000	0.02692
13950000	0.02842
14050000	0.031
14150000	0.02896
14250000	0.03178
14350000	0.0276
14450000	0.0313
14550000	0.03224
14650000	0.02923
14750000	0.03159
14850000	0.0289
14950000	0.02897
15050000	0.02814
15150000	0.03119
15250000	0.03316
15350000	0.02986
15450000	0.03287
15550000	0.03352
15650000	0.02929
15750000	0.030801603206412825
15850000	0.03148
15950000	0.03492
16050000	0.03451
16150000	0.03611
16250000	0.03383
16350000	0.03409
16450000	0.03227
16550000	0.03141
16650000	0.03308
16750000	0.03358
16850000	0.03446
16950000	0.03129
17050000	0.03553
17150000	0.033
17250000	0.03568
17350000	0.03145
17450000	0.03386
17550000	0.035
17650000	0.03631
17750000	0.03267
17850000	0.03326
17950000	0.03376
18050000	0.03259
18150000	0.03457
18250000	0.03151
18350000	0.03071
18450000	0.03388
18550000	0.03315
18650000	0.03159
18750000	0.03238
18850000	0.03237
18950000	0.03152304609218437
19050000	0.03292
19150000	0.03599
19250000	0.0348
19350000	0.03126
19450000	0.03031
19550000	0.03094
19650000	0.03203
19750000	0.03395
19850000	0.034
19950000	0.03244
20050000	0.03485
20150000	0.03402
20250000	0.03407
20350000	0.03242
20450000	0.03094
20550000	0.03239
20650000	0.03171
20750000	0.03376
20850000	0.03321
20950000	0.03089
21050000	0.03398
21150000	0.03382
21250000	0.03459
21350000	0.03118
21450000	0.03292
21550000	0.03357
21650000	0.03151
21750000	0.03463
21850000	0.03628
21950000	0.03099
22050000	0.03497
22150000	0.03156
22250000	0.03368
22350000	0.03255
22450000	0.03239
22550000	0.03205
22650000	0.03244
22750000	0.03331
22850000	0.03205
22950000	0.03596
23050000	0.03018
23150000	0.03398
23250000	0.03007
23350000	0.03423
23450000	0.03508
23550000	0.03247
23650000	0.02941
23750000	0.03085
23850000	0.03178
23950000	0.03012
24050000	0.03312
24150000	0.0329
24250000	0.03336
24350000	0.0318
24450000	0.0332
24550000	0.02738
24650000	0.03687
24750000	0.03275
24850000	0.02906
24950000	0.0325
25050000	0.03363
25150000	0.0312
25250000	0.03107
25350000	0.0304
25450000	0.03089
25550000	0.03087
25650000	0.03149
25750000	0.03666
25850000	0.03333
25950000	0.02991
26050000	0.02775
26150000	0.02983
26250000	0.02819
26350000	0.03165
26450000	0.03035
26550000	0.02876
26650000	0.03153
26750000	0.03271
26850000	0.03283
26950000	0.03285
27050000	0.0339
27150000	0.03582
27250000	0.03629
27350000	0.03367
27450000	0.02994
27550000	0.02818
27650000	0.03235
27750000	0.02818
27850000	0.03191
27950000	0.03127
28050000	0.03281
28150000	0.03297
28250000	0.03124
28350000	0.03562
28450000	0.03167
28550000	0.03198
28650000	0.03292
28750000	0.03244
28850000	0.02805
28950000	0.03
29050000	0.03246
29150000	0.029
29250000	0.03241
29350000	0.02643
29450000	0.03089
29550000	0.03195
29650000	0.02782
29750000	0.03306
29850000	0.03182
29950000	0.03043
30050000	0.03411
30150000	0.03086
30250000	0.03019
30350000	0.03183
30450000	0.03078
30550000	0.0349
30650000	0.0314
30750000	0.03021
30850000	0.03007
30950000	0.03775
31050000	0.03276
31150000	0.03281
31250000	0.03341
31350000	0.0333
31450000	0.03379
31550000	0.03545
31650000	0.03005
31750000	0.03092
31850000	0.03201
31950000	0.03337
32050000	0.03293
32150000	0.03472
32250000	0.03357
32350000	0.02699
32450000	0.0292
32550000	0.03048
32650000	0.03177
32750000	0.02799
32850000	0.02663
32950000	0.0293
33050000	0.03198
33150000	0.03497
33250000	0.03155
33350000	0.03286
33450000	0.02936
33550000	0.03034
33650000	0.02936
33750000	0.02963
33850000	0.02901
33950000	0.02991
34050000	0.03291
34150000	0.03093
34250000	0.03171
34350000	0.03499
34450000	0.03387
34550000	0.03304
34650000	0.0308
34750000	0.03372
34850000	0.03269
34950000	0.02976
35050000	0.0266
35150000	0.03302
35250000	0.02758
35350000	0.03312
35450000	0.03079
35550000	0.03444
35650000	0.02838
35750000	0.03144
35850000	0.03081
35950000	0.03099
36050000	0.03171
36150000	0.03418
36250000	0.03408
36350000	0.0323
36450000	0.03304
36550000	0.03186
36650000	0.03601
36750000	0.03583
36850000	0.03385
36950000	0.03433
37050000	0.03388
37150000	0.03399
37250000	0.03425
37350000	0.03528
37450000	0.03536
37550000	0.03265
37650000	0.0332
37750000	0.03005
37850000	0.0338
37950000	0.03272
38050000	0.02886
38150000	0.03173
38250000	0.02663
38350000	0.03012
38450000	0.03079
38550000	0.03154
38650000	0.03174
38750000	0.03397
38850000	0.03371
38950000	0.03535
39050000	0.03059
39150000	0.03285
39250000	0.03286
39350000	0.03161
39450000	0.03647
39550000	0.03455
39650000	0.03483
39750000	0.03431
39850000	0.032
39950000	0.03173
40050000	0.03242
40150000	0.04046
40250000	0.03377
40350000	0.03183
40450000	0.03032
40550000	0.02921
40650000	0.0296
40750000	0.02887
40850000	0.03029
40950000	0.02778
41050000	0.0292
41150000	0.03161
41250000	0.0309
41350000	0.02939
41450000	0.02977
41550000	0.02817
41650000	0.02924
41750000	0.03014
41850000	0.03396
41950000	0.03175
42050000	0.03124
42150000	0.03113
42250000	0.03207
42350000	0.03612
42450000	0.03266
42550000	0.03289
42650000	0.03333
42750000	0.03423
42850000	0.03012
42950000	0.03347
43050000	0.03426
43150000	0.03511
43250000	0.03358
43350000	0.03406
43450000	0.03453
43550000	0.03412
43650000	0.03273
43750000	0.03593
43850000	0.03207
43950000	0.03446
44050000	0.03739
44150000	0.03786
44250000	0.03438
44350000	0.03139
44450000	0.03269
44550000	0.03207
44650000	0.03622
44750000	0.03303
44850000	0.03256
44950000	0.03092
45050000	0.03175
45150000	0.03437
45250000	0.03318
45350000	0.03261
45450000	0.0338
45550000	0.03434
45650000	0.03119
45750000	0.03126
45850000	0.03216
45950000	0.03215
46050000	0.03126
46150000	0.03031
46250000	0.03399
46350000	0.02994
46450000	0.0322
46550000	0.0309
46650000	0.03239
46750000	0.03162
46850000	0.02952
46950000	0.03217
47050000	0.03059
47150000	0.02993
47250000	0.03391
47350000	0.02645
47450000	0.03092
47550000	0.02904
47650000	0.02965
47750000	0.03335
47850000	0.0272
47950000	0.02867
48050000	0.02552
