chromosome	coordinate	repeat_density	HFC
DcoA	50000	0.54312	non-HFC
DcoA	150000	0.17594	non-HFC
DcoA	250000	0.15099	non-HFC
DcoA	350000	0.22487	non-HFC
DcoA	450000	0.19366	non-HFC
DcoA	550000	0.19524	non-HFC
DcoA	650000	0.11428	non-HFC
DcoA	750000	0.1351	non-HFC
DcoA	850000	0.11599	non-HFC
DcoA	950000	0.11961	non-HFC
DcoA	1050000	0.18937	non-HFC
DcoA	1150000	0.17886	non-HFC
DcoA	1250000	0.14258	non-HFC
DcoA	1350000	0.12492	non-HFC
DcoA	1450000	0.15107	non-HFC
DcoA	1550000	0.21796	non-HFC
DcoA	1650000	0.13208	non-HFC
DcoA	1750000	0.17074	non-HFC
DcoA	1850000	0.15189	non-HFC
DcoA	1950000	0.8032164328657314	non-HFC
DcoA	2050000	0.13024	non-HFC
DcoA	2150000	0.10058	non-HFC
DcoA	2250000	0.11345	non-HFC
DcoA	2350000	0.18826	non-HFC
DcoA	2450000	0.0868	non-HFC
DcoA	2550000	0.07496	non-HFC
DcoA	2650000	0.12316	non-HFC
DcoA	2750000	0.13087	non-HFC
DcoA	2850000	0.13288	non-HFC
DcoA	2950000	0.06768	non-HFC
DcoA	3050000	0.08027	non-HFC
DcoA	3150000	0.07996	non-HFC
DcoA	3250000	0.18742	non-HFC
DcoA	3350000	0.08462	non-HFC
DcoA	3450000	0.1441	non-HFC
DcoA	3550000	0.15818	non-HFC
DcoA	3650000	0.12909	non-HFC
DcoA	3750000	0.06217	non-HFC
DcoA	3850000	0.12005	non-HFC
DcoA	3950000	0.0803	non-HFC
DcoA	4050000	0.1349	non-HFC
DcoA	4150000	0.06808	non-HFC
DcoA	4250000	0.0693	non-HFC
DcoA	4350000	0.05298	non-HFC
DcoA	4450000	0.13559	non-HFC
DcoA	4550000	0.23461	non-HFC
DcoA	4650000	0.17001	non-HFC
DcoA	4750000	0.06826	non-HFC
DcoA	4850000	0.18272	non-HFC
DcoA	4950000	0.07953	non-HFC
DcoA	5050000	0.13029	non-HFC
DcoA	5150000	0.07595	non-HFC
DcoA	5250000	0.03675	non-HFC
DcoA	5350000	0.13761	non-HFC
DcoA	5450000	0.40435	non-HFC
DcoA	5550000	0.45076	non-HFC
DcoA	5650000	0.18913	non-HFC
DcoA	5750000	0.13279	non-HFC
DcoA	5850000	0.0567	non-HFC
DcoA	5950000	0.04701	non-HFC
DcoA	6050000	0.04723	non-HFC
DcoA	6150000	0.1033	non-HFC
DcoA	6250000	0.39114	non-HFC
DcoA	6350000	0.49194	non-HFC
DcoA	6450000	0.6255	non-HFC
DcoA	6550000	0.14993	non-HFC
DcoA	6650000	0.0838	non-HFC
DcoA	6750000	0.09873	non-HFC
DcoA	6850000	0.08897	non-HFC
DcoA	6950000	0.10381	non-HFC
DcoA	7050000	0.12454	non-HFC
DcoA	7150000	0.13554	non-HFC
DcoA	7250000	0.09955	non-HFC
DcoA	7350000	0.06093	non-HFC
DcoA	7450000	0.11466	non-HFC
DcoA	7550000	0.14357	non-HFC
DcoA	7650000	0.41308617234468936	non-HFC
DcoA	7750000	0.10717	non-HFC
DcoA	7850000	0.06903	non-HFC
DcoA	7950000	0.10008	non-HFC
DcoA	8050000	0.11388	non-HFC
DcoA	8150000	0.06738	non-HFC
DcoA	8250000	0.17174	non-HFC
DcoA	8350000	0.33766	non-HFC
DcoA	8450000	0.32784	non-HFC
DcoA	8550000	0.24014	non-HFC
DcoA	8650000	0.0733	non-HFC
DcoA	8750000	0.14997	non-HFC
DcoA	8850000	0.0864	non-HFC
DcoA	8950000	0.12287	non-HFC
DcoA	9050000	0.10772	HFC
DcoA	9150000	0.22229	HFC
DcoA	9250000	0.12469	HFC
DcoA	9350000	0.09885	HFC
DcoA	9450000	0.03819	HFC
DcoA	9550000	0.10229	HFC
DcoA	9650000	0.03547	HFC
DcoA	9750000	0.10109	HFC
DcoA	9850000	0.13407	HFC
