scaffold_position	fraction_NlaIII
50000	0.00728
150000	0.01088
250000	0.00988
350000	0.011182364729458917
450000	0.00948
550000	0.01264
650000	0.01332
750000	0.01212
850000	0.011
950000	0.01372
1050000	0.01216
1150000	0.01148
1250000	0.01056
1350000	0.01112
1450000	0.011
1550000	0.01156
1650000	0.01112
1750000	0.01084
1850000	0.01172
1950000	0.01068
2050000	0.0128
2150000	0.012705410821643287
2250000	0.01232
2350000	0.0124
2450000	0.01416
2550000	0.01264
2650000	0.01348
2750000	0.01288
2850000	0.01212
2950000	0.011
3050000	0.01244
3150000	0.01216
3250000	0.01236
3350000	0.01272
3450000	0.0132
3550000	0.01344
3650000	0.0128
3750000	0.01224
3850000	0.01492
3950000	0.01304
4050000	0.01288
4150000	0.0126
4250000	0.01208
4350000	0.01356
4450000	0.01376
4550000	0.01196
4650000	0.01388
4750000	0.01276
4850000	0.01324
4950000	0.013
5050000	0.01184
5150000	0.01436
5250000	0.01208
5350000	0.01144
5450000	0.01292
5550000	0.01104
5650000	0.01256
5750000	0.0116
5850000	0.01228
5950000	0.01196
6050000	0.01232
6150000	0.01284
6250000	0.01276
6350000	0.01268
6450000	0.01248
6550000	0.0122
6650000	0.00996
6750000	0.01496
6850000	0.0144
6950000	0.01136
7050000	0.02032
7150000	0.01564
7250000	0.01208
7350000	0.01192
7450000	0.01076
7550000	0.01164
7650000	0.01268
7750000	0.01296
7850000	0.01316
7950000	0.01312
8050000	0.01188
8150000	0.01284
8250000	0.013
8350000	0.01144
8450000	0.01296
8550000	0.01196
8650000	0.01164
8750000	0.01076
8850000	0.01196
8950000	0.01212
9050000	0.01404
9150000	0.01256
9250000	0.011
9350000	0.01208
9450000	0.01276
9550000	0.01116
9650000	0.01056
9750000	0.011
9850000	0.0116
9950000	0.01368
10050000	0.01556
10150000	0.01096
10250000	0.01188
10350000	0.01244
10450000	0.01076
10550000	0.0118
10650000	0.01004
10750000	0.01196
10850000	0.00948
10950000	0.01088
11050000	0.01084
11150000	0.01024
11250000	0.01172
11350000	0.00884
11450000	0.01156
11550000	0.012
11650000	0.01368
11750000	0.01228
11850000	0.0114
11950000	0.00928
12050000	0.01136
12150000	0.01084
12250000	0.01164
12350000	0.01036
12450000	0.01124
12550000	0.01072
12650000	0.01096
12750000	0.01244
12850000	0.01172
12950000	0.01196
13050000	0.01268
13150000	0.01184
13250000	0.01008
13350000	0.01108
13450000	0.0122
13550000	0.01124
13650000	0.01088
13750000	0.01104
13850000	0.01228
13950000	0.01108
14050000	0.01156
14150000	0.01136
14250000	0.01164
14350000	0.0128
14450000	0.01144
14550000	0.01208
14650000	0.01132
14750000	0.0112
14850000	0.01156
14950000	0.01376
15050000	0.01248
15150000	0.01256
15250000	0.01168
15350000	0.0112
15450000	0.01364
15550000	0.01296
15650000	0.01316
15750000	0.01512
15850000	0.012
15950000	0.01352
16050000	0.01364
16150000	0.01276
16250000	0.01248
16350000	0.01252
16450000	0.01328
16550000	0.01228
16650000	0.013
16750000	0.0122
16850000	0.01096
16950000	0.01184
17050000	0.01272
17150000	0.01184
17250000	0.0116
17350000	0.01212
17450000	0.01272
17550000	0.01236
