chromosome	coordinate	GC_content	HFC
DcoA	50000	0.3622	non-HFC
DcoA	150000	0.36118	non-HFC
DcoA	250000	0.37037	non-HFC
DcoA	350000	0.35765	non-HFC
DcoA	450000	0.3634	non-HFC
DcoA	550000	0.37186	non-HFC
DcoA	650000	0.40145	non-HFC
DcoA	750000	0.38449	non-HFC
DcoA	850000	0.38206	non-HFC
DcoA	950000	0.36504	non-HFC
DcoA	1050000	0.38819	non-HFC
DcoA	1150000	0.38514	non-HFC
DcoA	1250000	0.40822	non-HFC
DcoA	1350000	0.39384	non-HFC
DcoA	1450000	0.39343	non-HFC
DcoA	1550000	0.37617	non-HFC
DcoA	1650000	0.38718	non-HFC
DcoA	1750000	0.40716	non-HFC
DcoA	1850000	0.39289	non-HFC
DcoA	1950000	0.4509619238476954	non-HFC
DcoA	2050000	0.34707	non-HFC
DcoA	2150000	0.38047	non-HFC
DcoA	2250000	0.38227	non-HFC
DcoA	2350000	0.38401	non-HFC
DcoA	2450000	0.36379	non-HFC
DcoA	2550000	0.35768	non-HFC
DcoA	2650000	0.35722	non-HFC
DcoA	2750000	0.35412	non-HFC
DcoA	2850000	0.35404	non-HFC
DcoA	2950000	0.37195	non-HFC
DcoA	3050000	0.3606	non-HFC
DcoA	3150000	0.37666	non-HFC
DcoA	3250000	0.37189	non-HFC
DcoA	3350000	0.36613	non-HFC
DcoA	3450000	0.36276	non-HFC
DcoA	3550000	0.36663	non-HFC
DcoA	3650000	0.36192	non-HFC
DcoA	3750000	0.36687	non-HFC
DcoA	3850000	0.36448	non-HFC
DcoA	3950000	0.37742	non-HFC
DcoA	4050000	0.36237	non-HFC
DcoA	4150000	0.36694	non-HFC
DcoA	4250000	0.36806	non-HFC
DcoA	4350000	0.35452	non-HFC
DcoA	4450000	0.36746	non-HFC
DcoA	4550000	0.35996	non-HFC
DcoA	4650000	0.3652	non-HFC
DcoA	4750000	0.36618	non-HFC
DcoA	4850000	0.37187	non-HFC
DcoA	4950000	0.37068	non-HFC
DcoA	5050000	0.37367	non-HFC
DcoA	5150000	0.3699	non-HFC
DcoA	5250000	0.37492	non-HFC
DcoA	5350000	0.36625	non-HFC
DcoA	5450000	0.35861	non-HFC
DcoA	5550000	0.3563	non-HFC
DcoA	5650000	0.36499	non-HFC
DcoA	5750000	0.36453	non-HFC
DcoA	5850000	0.36822	non-HFC
DcoA	5950000	0.37403	non-HFC
DcoA	6050000	0.3764	non-HFC
DcoA	6150000	0.3712	non-HFC
DcoA	6250000	0.38315	non-HFC
DcoA	6350000	0.39644	non-HFC
DcoA	6450000	0.40719	non-HFC
DcoA	6550000	0.37363	non-HFC
DcoA	6650000	0.37306	non-HFC
DcoA	6750000	0.38331	non-HFC
DcoA	6850000	0.37231	non-HFC
DcoA	6950000	0.38349	non-HFC
DcoA	7050000	0.38492	non-HFC
DcoA	7150000	0.38243	non-HFC
DcoA	7250000	0.38011	non-HFC
DcoA	7350000	0.39143	non-HFC
DcoA	7450000	0.36811	non-HFC
DcoA	7550000	0.36205	non-HFC
DcoA	7650000	0.34952905811623247	non-HFC
DcoA	7750000	0.36606	non-HFC
DcoA	7850000	0.3667	non-HFC
DcoA	7950000	0.36953	non-HFC
DcoA	8050000	0.37775	non-HFC
DcoA	8150000	0.38512	non-HFC
DcoA	8250000	0.38359	non-HFC
DcoA	8350000	0.38046	non-HFC
DcoA	8450000	0.3955	non-HFC
DcoA	8550000	0.37861	non-HFC
DcoA	8650000	0.38928	non-HFC
DcoA	8750000	0.38377	non-HFC
DcoA	8850000	0.37253	non-HFC
DcoA	8950000	0.37528	non-HFC
DcoA	9050000	0.37627	HFC
DcoA	9150000	0.3889	HFC
DcoA	9250000	0.38604	HFC
DcoA	9350000	0.37887	HFC
DcoA	9450000	0.36795	HFC
DcoA	9550000	0.3677	HFC
DcoA	9650000	0.37458	HFC
DcoA	9750000	0.35601	HFC
DcoA	9850000	0.35708	HFC
DcoA	9950000	0.35794	HFC
DcoA	10050000	0.36036	HFC
DcoA	10150000	0.36589	HFC
DcoA	10250000	0.36719	HFC
DcoA	10350000	0.36605	HFC
DcoA	10450000	0.36281	HFC
DcoA	10550000	0.38948	HFC
DcoA	10650000	0.36872	HFC
DcoA	10750000	0.4057414829659319	HFC
DcoA	10850000	0.36767	HFC
DcoA	10950000	0.36512	HFC
DcoA	11050000	0.37022	HFC
DcoA	11150000	0.35666	HFC
DcoA	11250000	0.37527	HFC
DcoA	11350000	0.35524	HFC
DcoA	11450000	0.36896	HFC
DcoA	11550000	0.36442	HFC
DcoA	11650000	0.39164	HFC
DcoA	11750000	0.42306	HFC
DcoA	11850000	0.40918	HFC
DcoA	11950000	0.43439	HFC
DcoA	12050000	0.40555	non-HFC
DcoA	12150000	0.38717	non-HFC
DcoA	12250000	0.36713	non-HFC
DcoA	12350000	0.35885	non-HFC
DcoA	12450000	0.36798	non-HFC
DcoA	12550000	0.35211	non-HFC
DcoA	12650000	0.36322	non-HFC
DcoA	12750000	0.36009	non-HFC
DcoA	12850000	0.36381	non-HFC
DcoA	12950000	0.34558	non-HFC
DcoA	13050000	0.35211	non-HFC
DcoA	13150000	0.35862	non-HFC
DcoA	13250000	0.35731	non-HFC
DcoA	13350000	0.35296	non-HFC
DcoA	13450000	0.35482	non-HFC
DcoA	13550000	0.35815	non-HFC
DcoA	13650000	0.35453	non-HFC
DcoA	13750000	0.35101	non-HFC
DcoA	13850000	0.35483	non-HFC
DcoA	13950000	0.35681	non-HFC
DcoA	14050000	0.34961	non-HFC
DcoA	14150000	0.34739	non-HFC
DcoA	14250000	0.35741	non-HFC
DcoA	14350000	0.36606	non-HFC
DcoA	14450000	0.36316	non-HFC
DcoA	14550000	0.37359	non-HFC
DcoA	14650000	0.36117	non-HFC
DcoA	14750000	0.36442	non-HFC
DcoA	14850000	0.37313	non-HFC
DcoA	14950000	0.356312625250501	non-HFC
DcoA	15050000	0.3688	non-HFC
DcoA	15150000	0.36332	non-HFC
DcoA	15250000	0.37769	non-HFC
DcoA	15350000	0.3905	non-HFC
DcoA	15450000	0.36281563126252503	non-HFC
DcoA	15550000	0.38405	non-HFC
DcoA	15650000	0.38403	non-HFC
DcoA	15750000	0.37445	non-HFC
DcoA	15850000	0.36529	non-HFC
DcoA	15950000	0.3744	non-HFC
DcoA	16050000	0.3836	non-HFC
DcoA	16150000	0.3819	non-HFC
DcoA	16250000	0.41947	non-HFC
DcoA	16350000	0.37434	non-HFC
DcoA	16450000	0.39133	non-HFC
DcoA	16550000	0.38989	non-HFC
DcoA	16650000	0.38215	non-HFC
DcoA	16750000	0.38905	non-HFC
DcoA	16850000	0.36588	non-HFC
DcoA	16950000	0.3816	non-HFC
DcoA	17050000	0.36909	non-HFC
DcoA	17150000	0.38751	non-HFC
DcoA	17250000	0.38295	non-HFC
DcoA	17350000	0.38362	non-HFC
DcoA	17450000	0.36917	non-HFC
DcoA	17550000	0.37921	non-HFC
DcoA	17650000	0.38227	non-HFC
DcoA	17750000	0.36635	non-HFC
DcoA	17850000	0.37475951903807614	non-HFC
DcoA	17950000	0.36619	non-HFC
DcoA	18050000	0.37503	non-HFC
DcoA	18150000	0.38941	non-HFC
DcoA	18250000	0.39154	non-HFC
DcoA	18350000	0.37366	non-HFC
DcoA	18450000	0.37166	non-HFC
DcoA	18550000	0.37625	non-HFC
DcoA	18650000	0.38173	non-HFC
DcoA	18750000	0.39637	non-HFC
DcoA	18850000	0.38504	non-HFC
DcoA	18950000	0.38714	non-HFC
DcoA	19050000	0.38255	non-HFC
DcoA	19150000	0.37609	non-HFC
DcoA	19250000	0.373186372745491	non-HFC
DcoA	19350000	0.37959	non-HFC
DcoA	19450000	0.38246	non-HFC
DcoA	19550000	0.37568	non-HFC
DcoA	19650000	0.38444	non-HFC
DcoA	19750000	0.37707	non-HFC
DcoA	19850000	0.39391	non-HFC
DcoA	19950000	0.38394	non-HFC
DcoA	20050000	0.38753	non-HFC
DcoA	20150000	0.37942	non-HFC
DcoA	20250000	0.38449	non-HFC
DcoA	20350000	0.37565	non-HFC
DcoA	20450000	0.38999	non-HFC
DcoA	20550000	0.38089	non-HFC
DcoA	20650000	0.36638	non-HFC
DcoA	20750000	0.37893	non-HFC
DcoA	20850000	0.38443	non-HFC
DcoA	20950000	0.38199	non-HFC
DcoA	21050000	0.37925	non-HFC
DcoA	21150000	0.38505	non-HFC
DcoA	21250000	0.36726	non-HFC
DcoA	21350000	0.37573	non-HFC
DcoA	21450000	0.37441	non-HFC
DcoA	21550000	0.37713	non-HFC
DcoA	21650000	0.37375	non-HFC
DcoA	21750000	0.37779	non-HFC
DcoA	21850000	0.37753	non-HFC
DcoA	21950000	0.38114	non-HFC
DcoA	22050000	0.3764	non-HFC
DcoA	22150000	0.36491	non-HFC
DcoA	22250000	0.35827	non-HFC
DcoA	22350000	0.36411	non-HFC
DcoA	22450000	0.36158	non-HFC
DcoA	22550000	0.36388	non-HFC
DcoA	22650000	0.36906	non-HFC
DcoA	22750000	0.36397	non-HFC
DcoA	22850000	0.37448	non-HFC
DcoA	22950000	0.37025	non-HFC
DcoA	23050000	0.37719	non-HFC
DcoA	23150000	0.3789	non-HFC
DcoA	23250000	0.36252	non-HFC
DcoA	23350000	0.35855	non-HFC
DcoA	23450000	0.38555	non-HFC
DcoA	23550000	0.37365	non-HFC
DcoA	23650000	0.37026	non-HFC
DcoA	23750000	0.37199	non-HFC
DcoA	23850000	0.34788	non-HFC
DcoA	23950000	0.36389	non-HFC
DcoA	24050000	0.36725	non-HFC
DcoA	24150000	0.36837	non-HFC
DcoA	24250000	0.35407	non-HFC
DcoA	24350000	0.36112	non-HFC
DcoA	24450000	0.36316	non-HFC
DcoA	24550000	0.35752	HFC
DcoA	24650000	0.35416	HFC
DcoA	24750000	0.36881	HFC
DcoA	24850000	0.36026	HFC
DcoA	24950000	0.36006	HFC
DcoA	25050000	0.37638276553106215	HFC
DcoA	25150000	0.3942	HFC
DcoA	25250000	0.4012	HFC
DcoA	25350000	0.41873	HFC
DcoA	25450000	0.42176	HFC
DcoA	25550000	0.41676	HFC
DcoA	25650000	0.4162	HFC
DcoA	25750000	0.39488	HFC
DcoA	25850000	0.36648	HFC
DcoA	25950000	0.37395	HFC
DcoA	26050000	0.38417	HFC
DcoA	26150000	0.36396	HFC
DcoA	26250000	0.39604	HFC
DcoA	26350000	0.371	HFC
DcoA	26450000	0.37883	HFC
